,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,0.8886132543220132,-0.4313234551341619,1.7142509355934765,1.2986108975078414,-0.7354361355511848,1.6274719263562418,-0.3126433680162099,1.7542613556853497,-1.1864790640732514,-1.4905102066958664,0.4428752163007462,1.7528789564955107,1.2864702562487784,0.6427057397573187,-0.7702906185317001,-1.4274285252859886,-0.5461660210723596,1.6867525681109885,1.3754985449279256,-0.6372528492983539,-0.7188952998297531,-0.5852079995050191,0.7542674813357529,1.5314788834051702,0.56812648358702,-1.3849769513895287,1.1507639640435223,1.3433409906461564,0.5996950911875515,1.5638518953653113,1.139322165987853,1.2347129399711843,2.3242251950454142
Parent and Teenager,0.3967097993998719,-0.9082142537565371,1.1563179230346003,1.6174975889421996,-1.6097334056586399,1.259800274995107,0.4612609461075829,1.7131816369704962,-0.812115289488209,-1.3351532102135732,0.03782324887956372,1.8176716089022773,1.3985282973566995,0.9783544118462005,-0.9827385081180666,-1.2015720333352393,-0.4636703934436341,1.1983360801527123,2.1058697475588217,0.25128487286510814,0.5533190194812081,0.2504749366391112,0.20054799137345455,1.6924456391031777,1.0191945333970016,-1.0980908087257435,1.0096836248288061,1.4254369196667418,-1.12912475939647,1.4025433026092555,0.7292386217037174,0.7556594091574211,1.7295935906008308
Wife and Husband,1.0291570985854819,1.3596664330254244,1.790129825301484,1.5135127982570828,-0.3235449771894504,1.6966378805726925,-0.35537428106598984,0.8990563024397676,0.1067776117659856,-1.558229923111225,-0.47974315393639166,1.791754547939571,1.5863903074493906,1.4472753507939031,-0.993360902597385,-0.8278822011985448,0.40842624148860857,1.6791802194604726,3.0677247193295645,-0.406574786813609,1.6870261346736366,-0.41807141227619304,0.9777872754489737,1.5314788834051702,0.9389197109731915,-1.0456492557656967,0.912386839163485,1.3694624226072518,0.9253289671537199,1.4072876729844332,0.7990400760499531,1.06966088313619,-1.2396523815928449
Fiance and Fiancee,0.8183413321902788,1.4303169217102207,1.4018084485605058,1.2708816199918103,-0.4789756029863313,1.5583059721397905,-0.317391247243963,1.1305965351962135,-0.06824960752052774,-0.6380384824084115,-1.4754959071801312,1.878144751148593,1.4150074210490409,0.21327287987889607,-0.6676074718982895,-0.8155627561830494,-0.17689987835330193,1.5277332464501545,2.740454562959436,-1.0516189985765068,0.8405932206159409,-0.8776970271554647,-0.7748111102115106,1.3597810106606298,0.281430689216269,-1.403485734787192,1.3161684996745682,1.1828807657422855,1.2450422271932302,1.283934043229803,0.5678227585280469,1.0173273041397286,-1.3843982326747502
Between Siblings,0.9471731894317919,1.2077678823531124,1.5446392997755782,1.5204451176360907,-0.7470934324859508,1.4818593911637132,0.7793688543670562,1.2314285720417626,-0.6370880702016957,-1.4148234648198774,0.28535500674806397,2.10275927949205,1.4743322663414695,0.4304573147599369,-0.9544121228398844,-1.2713822217563802,-1.4536179249883416,1.4936576775228325,0.19014200295319228,-0.9063772555305564,0.5225396407882005,-1.2171932199640176,0.2259479679772297,1.5797689101145729,1.1491632935117422,-1.2739242510035473,1.8123821065677068,1.6418716416301027,-0.11669943593801949,1.236490339478022,0.8775667121894684,1.0012246644485099,-1.1927077812419569
Between divorced spouses,-1.4498801543951492,1.161845064707995,-0.24520980451329666,1.4545880835355165,-0.5061759625007856,-0.8952652458543152,-0.35537428106598984,-0.6022206905939612,-0.6711211406185178,0.9593501224479872,-0.31659722261397066,0.9796866377747644,0.09997335040020369,-1.5933067375406744,0.2352960588437684,-0.08871550026881946,-0.5383092946315287,-0.8802736244139042,0.9364776034558021,1.6396250637455176,1.28176431521571,1.1279420195904477,-0.5919312786643296,-0.6201100844248604,-2.0809426563987192,-1.283178642702379,-0.8876036956449588,0.08578062337628353,-1.1824103027363888,-1.671808700506155,-0.6449775107378015,-1.8207629414376059,-1.0166655299261262
Between a person and their in-laws,0.23664597676647703,-0.8728890094141388,1.2366602768430783,1.253550821544291,-0.5139474937906294,0.6700695074653668,-0.11798031967832295,1.0521716176496752,-1.142722259251623,-1.3471037484045187,-0.738526355344369,0.8976159447261933,0.8744921639402455,0.5686655915024182,-0.8127801964489734,-0.8730534995886947,-0.2397536898799501,1.0355305841666205,0.744904828995239,1.0501144596178362,0.9739705282856388,-0.3031650085563752,-0.6833711944379203,0.45300162022852164,-0.21933129828464254,-0.9932077028056502,0.3723896787209521,1.3097562924104629,-0.21142929076454087,0.4489248571984571,0.39768171355909665,0.20011833981036856,2.179479343963509
Between cousins,0.7753973797764409,1.3066785665118272,0.9063639334082241,0.7717546247032497,-0.2574869612257762,1.3253259158317452,0.6891591490397433,1.1978178930932462,-0.1363157483541717,-1.044356780900563,-1.8917993181407913,1.2215792067600257,1.3523867510181438,0.21327287987889607,-1.120829636349205,-1.2795951851000438,-1.1118503248121925,0.581189665135666,0.14623990880598003,-0.927736335390255,0.37377264377199987,-0.7157834582775395,-0.810371077456796,0.8822463020898744,0.9924362592557319,-1.1135147948904631,0.8637384463308243,1.4926063161381296,-0.6495548693372042,-0.0444896618200659,0.7685019397734748,0.9126601461468058,-0.6724051273529463
Employer and Employee,0.1585660632867721,-0.7527831786499852,-0.8790217067801802,-1.4639183750267601,1.2385328120692025,-0.44022607337766356,0.7081506659507562,-0.22876870227711324,1.2784876075451437,0.875696355111368,2.051831642445998,-0.3291249408419188,-0.36473793772382124,0.16391278104229579,1.8746856068185638,1.5251317967610811,1.6772875616828171,-0.6417446419226532,-0.592113492760773,0.7639027894978747,1.3843622441924004,0.6787624414129777,0.617107607675367,-0.040629763912034246,0.5069647141212601,1.243270291078696,-0.5276055886832701,0.34699494298723643,0.4102353815345079,0.6576771537062932,0.22754066859014704,-0.15816539331925233,0.970655884928139
Interviewer and Job applicant,0.23664597676647703,-0.7103928854391073,-1.8386664883814472,-1.1866255998664488,0.7955555285480922,-1.077280914844976,0.5989494437124298,-0.7142562870890155,0.44710831593420586,1.3258332936369865,-0.45161454508769844,-1.1455123611671765,-1.3403020603104272,0.22314489964621625,0.904506911040823,0.9461178810327964,-0.11404606682665376,-1.0506514690505122,-0.20098574490379026,-0.034926797254853044,-0.5085695454275377,-0.5590929077505151,0.6425075842791421,-0.3411010412149809,-1.0908865131717258,1.2710334661751914,-0.01193262465706728,-1.5822593889965155,0.2326169037347797,0.4726467090743476,-0.16072992121079033,-0.5245004462944828,0.786789533553827
