,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Parent and Child,1.9326787958368354,-1.3853025929247609,2.6582875677536744,2.3547086234813848,-1.8011622864665748,2.5810351766980406,-1.8015201922602415,2.5473908452734904,-0.538938430533191,-1.948697061667258,-1.221819589535387,1.7503188465388793,2.4579088363391324,1.953008174607217,-0.364239937374107,-1.1509363799007657,-0.41946174752025883,2.4592609803794803,2.103553625809461,-0.16776301150785614,0.3315576193246477,-0.07507727193573711,0.9720354899347821,2.217894519237165,1.6622076613171661,-1.399374794843088,0.71254971084078,2.072647380803475,1.0491807565908624,1.930519780513647
Parent and Teenager,1.161939771043213,-1.366496350345522,1.6867797729187481,1.9793194460589232,-1.5344378282450344,2.034646950142344,-1.6866861827371553,2.2328040380884193,-0.6472027616333391,-1.0228054218890796,-0.5118233262015135,1.1065625123946896,1.782656422087107,1.329316008649243,-0.17367599980922163,-1.001384211728595,-0.226203036312135,1.8669015001380318,1.4906875296898605,0.8616224601393715,0.6527182047424346,0.30778687137170024,0.7681147348313808,1.6323450027790083,1.036209514787291,-1.2957581569833467,0.5732220331421904,1.1935228764275856,0.35570172972653363,1.0570448288284067
Wife and Husband,1.7383748400065104,1.7177274326496437,2.2629843960622216,2.17287949066738,-1.546034543819884,2.5810351766980406,-1.7542356001036765,2.3961471879729754,0.8594758461770562,-0.9721707228387105,-0.6950481683521905,1.7754936752484287,2.323998020010672,1.725883281801712,-0.08572341324081297,-0.8759533610035487,-0.3887857616142075,2.2776834512602426,3.4376378350421812,0.0950588110403723,1.5231099362370162,-0.12692345800861937,0.888613362847027,2.178196246934917,1.5116511450631454,-1.3121186787506742,1.5186598460969023,1.7586743435263719,1.6196231819147457,1.7662027103946418
Fiance and Fiancee,1.887341206143093,1.780414907913773,2.5242864926040296,2.149417667078476,-1.6967918462929286,2.7011205012157764,-1.882579493100067,2.4566446508931814,1.0128503152355994,-1.6448888673650433,-0.7942949578504739,1.6460231275993178,2.2242771993405412,1.556440901454748,-0.0967174865618641,-0.6685100309582798,-0.7139512122183526,2.161592899856139,2.9940717654749567,-0.5437442298754603,1.639472467185489,-0.4060952291702924,0.32319672369668684,1.3544570966632723,1.3610946288091246,-1.3230256932622257,1.4589479842260784,1.3034134394745716,1.5301420171580575,1.273251500037625
Between Siblings,0.7862854564379181,1.8431023831779025,2.4371857937567603,2.0438394609284085,-1.7141869196552029,1.0619558215486855,-1.7542356001036765,1.7246253495586892,0.8594758461770562,-0.4802907892065532,-0.8553699052340329,1.4662029225311084,1.6316506079294815,0.7921476113790811,-0.9652492789248992,-1.0592753736016933,-1.1280770219500469,1.6883006518240269,-0.07025871512304367,0.8616224601393715,0.9087157728290762,0.0006979230938596818,0.49931010310416973,1.562873026250074,0.9569692430746483,-1.361200244052657,0.6627898259484263,1.82931827691372,0.7583669711316272,1.1694722978572003
Between divorced spouses,-1.137323706282299,0.35740921941803605,-0.1289347953589416,-0.7129248107677943,0.31523830594347535,-0.9014392343162916,-0.29516818498681685,-0.8465168245500647,0.4534846045515005,1.5884983434228142,1.9540776744096815,1.4014676487065534,-0.26304498480299504,-1.6233075978223197,-0.21765229309342615,0.42177351765173865,-0.9256155149701075,-0.7228108004150354,0.6780474022384572,2.0954249048796654,-0.01287547228283356,0.6587456694035178,-0.27929641638154473,-1.1862323306805966,-1.4440109898184164,-1.3066651714948982,-1.5067411553581742,-0.9179457992609349,-0.9865157416237801,-1.6671592284077392
Between a person and their in-laws,0.5855047020799157,0.14427180351999616,0.26636837633251115,0.6419955014914033,-0.5661120777450935,-0.22896141701697223,-0.16682429199042645,0.4904771059864873,0.715123404710192,-0.6104943010503595,0.045485568673462456,1.4014676487065534,0.5518165783872128,-0.4119748361929604,-0.8479791635003545,-1.011032738707445,-0.6587344375874601,0.3160508006114249,-0.3005067512342746,0.29217517795154335,0.23381309332793004,0.07248494996400431,-0.11245216220603449,0.2528300402758915,0.061554172721789376,-1.3284792005180017,0.4239423784651312,1.0522350096528892,-0.606220791407858,-0.7244981419355492
Between cousins,0.9352518225745006,1.4168275513818227,0.18596773124272414,0.9587301199416054,-1.116956067550449,-0.4571235336006699,-0.32218795193342536,0.7748151817114554,1.0218723428272785,-0.8564342678664382,-0.6339732209686315,1.1209481288001462,0.657235731667065,-0.6066533157405362,-1.3353830807336189,-0.9772628942814708,-0.9532239022855538,0.39642118235272705,-0.2598747448617044,-0.5948484731487269,-0.06407498590016181,-0.4818704241998894,-0.14025953790195286,-0.06475613814209226,0.006085982522939806,-1.3775607658199844,-0.4916395035541683,0.651919387124582,-0.6957019561645458,-0.8801669452061861
Employer and Employee,0.5310995944474248,-1.010431490845267,1.5393785902541386,-0.8055990139439647,1.8831142516631398,-0.3454441817991758,2.052849562673463,-0.35648737489639637,1.6010865142130715,0.5714642453539712,1.4639512216566202,-1.0251242822320847,-1.069618064197244,0.9710944966197819,2.3393026383934528,0.41124785185662976,2.021510112803997,-0.6400049525603605,-0.6314113485866454,0.15611842637985948,0.9814952467313941,-0.25164435317695116,1.533744478992333,0.6517976769134837,0.8935770257045346,1.2019481661619944,-0.32444629031586164,0.4368478565897663,0.6084860201641755,0.36691313432858325
Interviewer and Job applicant,-0.09067306420961505,-1.3364063622187399,-1.5104858801517815,-1.4625300744332725,1.971249290031997,-1.493459884188728,2.123100956734645,-0.8162680930899617,-1.2859623151242134,0.4152200311414038,0.993674126803216,-0.8832297931418976,-1.2327975889301845,0.9894480233111357,0.8887512674887139,-0.8413063777613157,0.6745554589291934,-1.325723967147766,-0.8080990126613066,-1.223696141998339,0.2173107707570559,-0.6171055808795051,0.66615435727968,0.24687529943055422,-0.6658715216002677,0.9598124440055462,-0.4856683173670858,-1.5364726826968287,-0.2840885982837829,0.05557552778730944
