,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[65, 100, 65, 90, 60, 71, 50]","[33, 3, 33, 80, 25, 17, 29]","[23, 48, 39, 86, 10, 0, 0]","[0, 48, 63, 75, 60, 42, 10]","[100, 5, 68, 55, 80, 0, 65]","[0, 5, 28, 70, 0, 0, 3]","[100, 7, 73, 100, 50, 0, 0]","[20, 50, 68, 86, 40, 0, 0]","[0, 33, 35, 96, 20, 0, 0]","[75, 5, 12, 83, 50, 0, 82]","[0, 2, 1, 89, 40, 0, 1]","[80, 60, 91, 6, 90, 100, 100, 75, 86]","[90, 28, 91, 8, 10, 85, 14, 1, 48]","[96, 39, 98, 9, 15, 60, 0, 3, 66]","[6, 16, 0, 11, 20, 0, 0, 2, 71]","[35, 67, 9, 11, 25, 10, 0, 35, 89]","[5, 25, 0, 6, 12, 5, 0, 16, 20]","[15, 12, 93, 4, 8, 50, 0, 9, 87]","[1, 0, 0, 100, 1, 75, 100, 3, 8]","[14, 25, 40, 10, 5, 30, 0, 20, 8]","[83, 19, 98, 8, 1, 20, 0, 15, 10]","[34, 0, 0, 15, 1, 0, 100, 64, 87]","[2, 17, 75, 23, 33, 60, 10, 15, 100, 79, 0, 83, 3]","[29, 8, 90, 9, 69, 80, 23, 30, 13, 43, 30, 61, 32]","[71, 55, 90, 1, 61, 80, 15, 80, 61, 74, 50, 88, 81]","[2, 4, 10, 3, 0, 11, 1, 0, 1, 0, 0, 11, 4]","[2, 5, 20, 3, 25, 30, 5, 0, 17, 14, 0, 99, 12]","[23, 100, 98, 93, 100, 100, 95, 100, 26, 100, 100, 99, 24]","[5, 6, 87, 10, 60, 20, 7, 1, 43, 100, 0, 98, 18]","[4, 4, 69, 4, 33, 80, 5, 0, 29, 28, 0, 99, 8]","[97, 92, 99, 91, 100, 100, 99, 100, 100, 53, 100, 100, 60]","[38, 50, 73, 7, 64, 85, 40, 50, 100, 55, 20, 97, 40]","[94, 100, 99, 100, 100, 90, 97, 100, 100, 100, 100, 73, 100]"
Athlete and Referee,"[24, 74, 18, 50, 4, 53, 0]","[9, 35, 38, 23, 10, 60, 10]","[51, 11, 71, 84, 1, 100, 10]","[52, 9, 9, 11, 4, 54, 0]","[94, 100, 72, 93, 52, 62, 50]","[8, 1, 32, 12, 8, 45, 0]","[92, 100, 76, 84, 80, 60, 100]","[0, 1, 22, 50, 12, 63, 50]","[56, 14, 57, 48, 62, 40, 50]","[63, 3, 65, 50, 39, 48, 50]","[44, 2, 12, 51, 73, 54, 50]","[70, 35, 7, 1, 15, 33, 61, 50, 66, 10, 30, 30]","[56, 20, 11, 1, 25, 11, 31, 2, 6, 10, 0, 0]","[48, 40, 67, 1, 51, 58, 43, 80, 96, 30, 71, 71]","[68, 10, 95, 1, 7, 61, 9, 50, 7, 10, 51, 51]","[2, 36, 15, 1, 22, 64, 9, 50, 4, 0, 40, 40]","[71, 34, 70, 50, 15, 66, 46, 100, 100, 50, 61, 61]","[45, 24, 3, 1, 29, 16, 38, 100, 48, 10, 5, 5]","[5, 3, 1, 1, 1, 8, 7, 4, 4, 0, 0, 0]","[3, 70, 25, 5, 48, 42, 75, 50, 100, 60, 70, 70]","[3, 20, 40, 79, 46, 27, 30, 50, 100, 30, 20, 20]","[86, 30, 85, 1, 5, 29, 12, 90, 77, 10, 10, 10]","[55, 66, 1, 30, 39]","[40, 15, 38, 25, 45]","[16, 10, 51, 0, 30]","[99, 10, 100, 59, 35]","[98, 50, 38, 3, 48]","[8, 1, 18, 4, 39]","[11, 100, 99, 6, 19]","[91, 50, 100, 96, 16]","[81, 100, 99, 100, 66]","[9, 75, 76, 19, 60]","[19, 66, 52, 52, 30]"
Athletic trainer and Trainee,"[50, 41, 51, 43, 35, 70, 71, 72, 92, 73, 85, 51]","[26, 25, 20, 50, 28, 4, 17, 0, 78, 10, 70, 3]","[46, 26, 80, 50, 36, 78, 91, 65, 68, 66, 90, 53]","[9, 16, 54, 100, 25, 64, 54, 19, 32, 16, 60, 8]","[100, 97, 71, 100, 33, 63, 63, 33, 79, 66, 40, 51]","[3, 3, 48, 0, 22, 1, 14, 0, 7, 52, 60, 9]","[52, 75, 37, 0, 38, 80, 16, 51, 50, 61, 30, 24]","[25, 50, 60, 0, 15, 7, 21, 7, 10, 26, 85, 0]","[22, 32, 71, 0, 51, 77, 89, 100, 53, 51, 85, 100]","[75, 59, 62, 0, 50, 91, 81, 100, 91, 79, 25, 100]","[61, 100, 48, 0, 39, 86, 90, 92, 100, 74, 75, 100]","[71, 60, 79, 64, 37, 1, 30, 50, 49, 76, 7, 15, 65]","[4, 27, 48, 33, 46, 8, 50, 15, 61, 16, 0, 4, 6]","[91, 100, 71, 96, 83, 73, 100, 90, 100, 81, 100, 80, 84]","[36, 74, 67, 77, 69, 100, 100, 39, 100, 51, 100, 70, 66]","[44, 2, 26, 45, 0, 2, 5, 10, 2, 47, 0, 5, 74]","[100, 100, 100, 100, 91, 1, 100, 100, 100, 45, 100, 95, 93]","[86, 76, 68, 72, 72, 57, 90, 90, 63, 81, 44, 35, 14]","[0, 2, 0, 6, 8, 1, 0, 1, 1, 2, 0, 1, 2]","[18, 14, 57, 22, 34, 19, 15, 50, 21, 28, 25, 10, 22]","[95, 100, 16, 55, 55, 100, 50, 90, 50, 42, 0, 50, 95]","[28, 100, 61, 60, 30, 55, 70, 85, 3, 23, 49, 75, 64]","[20, 100, 1, 59, 74, 40, 34, 10]","[84, 100, 50, 70, 26, 80, 25, 53]","[93, 29, 50, 86, 48, 95, 14, 90]","[79, 100, 90, 85, 89, 100, 40, 100]","[96, 71, 75, 100, 62, 70, 65, 50]","[89, 59, 75, 40, 24, 55, 23, 59]","[63, 57, 100, 11, 22, 90, 43, 61]","[51, 36, 50, 64, 61, 90, 34, 50]","[92, 100, 100, 76, 75, 100, 92, 69]","[57, 99, 75, 93, 37, 80, 51, 86]","[23, 68, 50, 40, 73, 80, 50, 69]"
Aunt and Niece/Nephew,"[0, 88, 97, 80, 100, 80, 90, 95, 23]","[50, 66, 37, 40, 93, 40, 31, 60, 24]","[50, 87, 28, 92, 44, 100, 75, 65, 30]","[50, 79, 85, 74, 92, 100, 90, 100, 55]","[20, 19, 4, 20, 0, 25, 1, 10, 53]","[50, 78, 81, 68, 31, 84, 90, 75, 43]","[30, 13, 8, 34, 42, 10, 5, 15, 54]","[10, 78, 97, 79, 90, 100, 90, 85, 46]","[30, 29, 97, 42, 79, 15, 15, 60, 49]","[0, 20, 10, 40, 1, 20, 5, 5, 34]","[20, 34, 15, 27, 5, 10, 50, 10, 94]","[89, 99, 2, 100, 20, 98, 85, 86]","[75, 85, 3, 100, 10, 53, 80, 99]","[20, 90, 47, 100, 80, 51, 100, 100]","[2, 0, 66, 30, 1, 3, 20, 1]","[5, 0, 64, 20, 1, 14, 80, 1]","[0, 0, 37, 20, 1, 3, 10, 1]","[50, 50, 69, 100, 1, 86, 5, 39]","[40, 89, 5, 100, 100, 2, 0, 1]","[5, 0, 57, 5, 1, 19, 6, 30]","[20, 0, 36, 100, 90, 3, 64, 24]","[1, 0, 51, 10, 1, 5, 0, 1]","[44, 69, 76, 14, 100, 83, 15]","[47, 62, 53, 97, 100, 33, 63]","[35, 49, 6, 77, 100, 73, 65]","[51, 51, 7, 5, 2, 6, 19]","[30, 44, 8, 92, 100, 49, 65]","[86, 62, 78, 95, 100, 96, 89]","[40, 88, 7, 88, 50, 77, 75]","[76, 37, 58, 45, 75, 71, 75]","[60, 98, 87, 85, 100, 96, 76]","[84, 79, 81, 81, 100, 63, 63]","[93, 54, 79, 92, 100, 89, 77]"
Babysitter and Infant,"[100, 100, 72, 87, 30, 100, 50]","[18, 25, 23, 22, 8, 1, 5]","[84, 55, 57, 90, 38, 100, 50]","[60, 83, 36, 70, 32, 2, 50]","[5, 82, 49, 6, 26, 100, 85]","[88, 1, 64, 87, 27, 100, 50]","[20, 12, 47, 50, 51, 2, 0]","[72, 10, 61, 91, 14, 100, 0]","[8, 50, 59, 84, 70, 100, 50]","[2, 3, 42, 18, 56, 2, 50]","[10, 74, 50, 79, 24, 100, 75]","[70, 70, 95, 24, 55, 71, 61, 100, 71, 60, 55, 55]","[81, 55, 80, 7, 86, 55, 90, 70, 9, 35, 60, 60]","[6, 100, 96, 64, 51, 75, 79, 100, 2, 30, 100, 100]","[7, 61, 20, 1, 1, 73, 72, 90, 21, 70, 100, 100]","[4, 1, 1, 1, 22, 81, 11, 1, 10, 50, 100, 100]","[100, 60, 60, 100, 52, 69, 61, 90, 100, 100, 100, 100]","[72, 81, 95, 10, 99, 74, 92, 99, 99, 50, 60, 60]","[4, 1, 1, 1, 1, 58, 10, 1, 3, 0, 0, 0]","[79, 76, 15, 1, 16, 14, 32, 10, 21, 10, 70, 70]","[6, 20, 75, 70, 7, 25, 25, 100, 46, 60, 35, 35]","[2, 50, 33, 8, 24, 6, 5, 60, 42, 10, 41, 41]","[100, 95, 1, 79, 58]","[99, 75, 77, 100, 58]","[99, 90, 95, 80, 24]","[99, 80, 87, 89, 93]","[98, 50, 99, 84, 47]","[99, 10, 46, 7, 92]","[99, 100, 99, 5, 29]","[100, 100, 100, 100, 96]","[99, 100, 99, 100, 98]","[99, 85, 99, 85, 74]","[100, 80, 73, 92, 71]"
Between Business Partners,"[62, 88, 90, 75, 80, 89, 66, 48, 44, 65, 84, 22, 77]","[51, 81, 88, 100, 95, 98, 80, 94, 48, 88, 53, 53, 72]","[37, 87, 75, 97, 85, 94, 71, 52, 46, 92, 52, 41, 69]","[40, 87, 50, 65, 30, 25, 65, 12, 72, 66, 10, 66, 16]","[78, 86, 46, 55, 80, 95, 37, 52, 40, 68, 67, 62, 53]","[3, 21, 29, 53, 10, 37, 7, 0, 55, 49, 11, 22, 5]","[90, 78, 50, 2, 10, 17, 83, 54, 63, 33, 84, 19, 80]","[71, 72, 68, 80, 90, 80, 9, 100, 66, 82, 18, 52, 30]","[87, 82, 76, 85, 100, 89, 6, 100, 58, 90, 86, 74, 65]","[88, 85, 58, 39, 100, 46, 59, 96, 52, 68, 79, 84, 88]","[60, 82, 49, 95, 90, 91, 83, 90, 41, 93, 81, 78, 76]","[50, 78, 52, 61, 5, 50, 75, 35, 54]","[30, 38, 12, 17, 0, 30, 40, 5, 1]","[50, 100, 58, 67, 66, 55, 70, 44, 57]","[100, 100, 87, 91, 100, 95, 90, 100, 62]","[80, 100, 100, 70, 28, 60, 50, 50, 46]","[50, 7, 17, 50, 16, 65, 95, 100, 54]","[80, 71, 28, 48, 8, 20, 5, 9, 54]","[3, 4, 8, 1, 0, 0, 0, 0, 1]","[20, 91, 16, 13, 36, 50, 15, 80, 72]","[75, 100, 10, 86, 57, 10, 5, 75, 81]","[20, 22, 5, 36, 10, 30, 20, 0, 18]","[77, 22, 100, 97, 28, 15, 22, 11, 80, 100, 51, 28, 87]","[83, 79, 60, 88, 48, 21, 19, 37, 60, 69, 54, 27, 78]","[82, 71, 89, 98, 51, 20, 76, 23, 75, 75, 32, 79, 77]","[98, 95, 100, 100, 91, 10, 99, 100, 100, 83, 100, 86, 100]","[100, 94, 70, 99, 82, 95, 86, 47, 70, 56, 92, 85, 87]","[59, 37, 42, 34, 66, 50, 33, 62, 50, 96, 66, 77, 64]","[26, 39, 40, 69, 96, 90, 94, 82, 40, 100, 50, 88, 87]","[50, 65, 2, 51, 52, 40, 17, 51, 50, 100, 68, 91, 21]","[52, 63, 74, 55, 52, 50, 52, 75, 85, 13, 32, 75, 99]","[89, 73, 47, 53, 72, 20, 47, 74, 60, 18, 30, 74, 92]","[56, 14, 16, 50, 51, 95, 11, 6, 20, 100, 50, 13, 50]"
Between Close Friends,"[100, 98, 79, 100, 90, 100, 100, 90, 81, 99, 93, 100]","[100, 100, 79, 83, 81, 100, 100, 91, 87, 100, 97, 100]","[100, 100, 90, 100, 79, 100, 100, 100, 97, 98, 92, 95]","[100, 98, 76, 96, 81, 100, 90, 96, 96, 98, 83, 92]","[5, 1, 18, 9, 88, 0, 5, 6, 2, 5, 80, 3]","[100, 55, 89, 100, 67, 100, 95, 98, 94, 56, 62, 90]","[100, 41, 8, 15, 52, 1, 95, 7, 3, 3, 70, 13]","[100, 100, 90, 100, 86, 100, 96, 91, 94, 99, 93, 50]","[100, 100, 83, 100, 90, 100, 100, 96, 90, 2, 83, 96]","[30, 100, 6, 14, 13, 8, 5, 13, 2, 1, 63, 3]","[5, 5, 67, 38, 95, 44, 6, 79, 2, 2, 81, 10]","[100, 40, 88, 100, 76, 100, 100, 98, 52, 100, 70]","[90, 100, 100, 100, 100, 100, 100, 96, 77, 100, 100]","[90, 100, 67, 97, 100, 82, 100, 100, 38, 100, 100]","[10, 0, 6, 10, 3, 10, 100, 76, 20, 33, 1]","[50, 10, 93, 45, 40, 11, 85, 46, 7, 17, 1]","[80, 20, 6, 25, 29, 49, 79, 100, 10, 15, 14]","[100, 100, 7, 100, 65, 1, 100, 100, 87, 87, 15]","[50, 5, 85, 16, 10, 30, 81, 67, 3, 3, 2]","[0, 20, 4, 20, 27, 40, 29, 28, 18, 12, 17]","[25, 0, 68, 90, 16, 100, 83, 84, 4, 2, 63]","[10, 0, 6, 2, 2, 10, 4, 6, 7, 1, 1]","[0, 20, 93, 27, 52, 44, 81, 40, 3, 4]","[80, 100, 100, 100, 100, 36, 67, 100, 100, 6]","[80, 100, 100, 95, 100, 15, 75, 100, 100, 89]","[0, 0, 56, 1, 0, 44, 63, 4, 1, 6]","[100, 100, 91, 96, 100, 63, 65, 100, 100, 63]","[90, 100, 100, 100, 100, 49, 77, 100, 82, 96]","[60, 70, 93, 62, 99, 43, 66, 76, 66, 76]","[80, 70, 99, 67, 99, 55, 69, 77, 57, 95]","[100, 100, 100, 95, 98, 56, 56, 100, 94, 100]","[92, 100, 100, 94, 100, 66, 84, 100, 100, 94]","[0, 30, 30, 2, 69, 62, 15, 16, 49, 9]"
Between Co-workers,"[78, 65, 60, 100, 100, 85, 50, 78, 47, 66, 70, 73]","[72, 52, 90, 52, 90, 84, 89, 59, 67, 89, 70, 65]","[88, 68, 59, 30, 50, 54, 76, 88, 22, 51, 20, 46]","[11, 41, 50, 3, 0, 6, 7, 21, 49, 41, 25, 30]","[57, 51, 79, 29, 100, 58, 79, 76, 41, 48, 80, 15]","[11, 27, 20, 1, 0, 39, 6, 2, 20, 34, 10, 48]","[81, 35, 69, 49, 100, 51, 86, 57, 86, 88, 90, 77]","[48, 49, 40, 21, 0, 60, 35, 32, 73, 73, 75, 58]","[87, 79, 50, 91, 100, 85, 80, 15, 68, 78, 75, 72]","[50, 51, 50, 79, 31, 82, 86, 26, 71, 55, 95, 48]","[90, 54, 86, 79, 100, 91, 13, 92, 64, 94, 15, 71]","[7, 64, 18, 16, 67, 85, 0]","[5, 43, 58, 11, 20, 26, 51]","[97, 100, 85, 46, 79, 82, 88]","[35, 0, 18, 1, 8, 1, 50]","[50, 4, 4, 21, 3, 1, 50]","[94, 6, 27, 21, 100, 60, 100]","[61, 49, 75, 50, 100, 24, 50]","[3, 60, 8, 3, 2, 1, 18]","[26, 29, 32, 53, 12, 69, 72]","[68, 83, 100, 20, 100, 90, 100]","[71, 20, 24, 52, 1, 48, 37]","[70, 79, 45, 75, 83, 95, 100, 90, 100, 50, 21]","[60, 91, 15, 84, 86, 60, 47, 70, 100, 100, 80]","[100, 83, 54, 100, 86, 65, 72, 70, 100, 100, 90]","[100, 100, 100, 100, 93, 87, 100, 95, 100, 100, 100]","[70, 7, 25, 12, 80, 49, 17, 30, 100, 100, 71]","[100, 36, 26, 81, 68, 66, 65, 58, 27, 35, 54]","[95, 100, 71, 92, 81, 76, 100, 69, 54, 100, 100]","[90, 81, 24, 92, 84, 93, 59, 73, 67, 100, 95]","[100, 100, 82, 100, 84, 82, 83, 86, 75, 99, 98]","[80, 81, 66, 54, 70, 84, 52, 86, 80, 79, 60]","[50, 72, 63, 44, 51, 73, 50, 35, 33, 14, 72]"
Between Facebook Friends,"[49, 60, 48]","[30, 64, 81]","[47, 6, 57]","[24, 59, 64]","[33, 52, 16]","[15, 37, 27]","[20, 40, 68]","[44, 51, 78]","[30, 40, 75]","[35, 45, 25]","[8, 73, 5]","[9, 75, 0, 51, 64, 23, 61, 35, 21]","[11, 5, 11, 31, 46, 45, 51, 7, 9]","[27, 10, 48, 24, 68, 50, 84, 20, 67]","[0, 0, 0, 17, 1, 13, 4, 0, 1]","[0, 5, 0, 24, 54, 39, 11, 0, 2]","[0, 5, 0, 7, 100, 27, 8, 0, 2]","[9, 5, 0, 16, 50, 68, 8, 23, 51]","[0, 1, 0, 3, 2, 34, 6, 0, 1]","[16, 10, 0, 4, 14, 13, 7, 0, 16]","[0, 5, 0, 10, 5, 80, 20, 0, 4]","[0, 0, 0, 3, 6, 5, 1, 0, 7]","[2, 4, 16, 4, 10, 8, 0, 10]","[25, 11, 14, 85, 21, 23, 57, 10]","[69, 54, 74, 83, 70, 28, 43, 65]","[2, 4, 24, 34, 10, 19, 0, 5]","[20, 56, 68, 42, 75, 30, 53, 70]","[37, 25, 47, 64, 30, 29, 55, 50]","[7, 42, 27, 39, 25, 16, 38, 50]","[32, 12, 23, 79, 40, 43, 39, 5]","[84, 50, 85, 75, 80, 69, 100, 70]","[46, 38, 63, 29, 45, 27, 74, 70]","[25, 51, 67, 60, 20, 46, 26, 20]"
Between Siblings,"[83, 70, 29, 60, 35, 100, 60, 59, 65, 60, 78, 79, 50]","[99, 100, 50, 54, 69, 90, 50, 43, 75, 93, 43, 79, 56]","[99, 75, 73, 70, 48, 100, 50, 79, 70, 58, 75, 70, 83]","[90, 100, 62, 94, 53, 100, 100, 91, 85, 49, 92, 86, 53]","[1, 0, 13, 0, 61, 1, 0, 2, 2, 22, 16, 9, 1]","[95, 81, 43, 69, 12, 95, 60, 59, 90, 67, 33, 61, 61]","[50, 8, 36, 0, 30, 1, 0, 6, 5, 27, 31, 14, 33]","[80, 50, 50, 83, 6, 100, 100, 5, 85, 66, 66, 78, 100]","[5, 65, 70, 72, 15, 50, 50, 7, 50, 42, 57, 14, 30]","[5, 25, 45, 32, 82, 1, 20, 3, 15, 29, 46, 15, 1]","[2, 5, 58, 32, 36, 50, 0, 90, 10, 18, 57, 15, 52]","[29, 100, 66, 95, 100, 94, 75, 100, 100, 100]","[46, 50, 70, 65, 95, 100, 81, 71, 85, 55]","[63, 50, 40, 25, 75, 100, 50, 88, 75, 53]","[61, 20, 25, 1, 1, 10, 5, 0, 0, 51]","[77, 10, 36, 8, 5, 10, 5, 16, 0, 100]","[22, 0, 31, 0, 21, 0, 20, 2, 80, 100]","[23, 10, 29, 4, 50, 37, 50, 46, 70, 70]","[7, 0, 100, 0, 63, 0, 81, 100, 0, 17]","[63, 50, 44, 82, 41, 20, 36, 51, 40, 100]","[23, 10, 28, 52, 89, 10, 77, 18, 100, 36]","[35, 20, 30, 62, 6, 2, 20, 67, 10, 42]","[85, 15, 50, 94, 100, 61]","[90, 75, 69, 67, 100, 77]","[67, 78, 66, 50, 79, 62]","[20, 0, 0, 1, 3, 8]","[78, 100, 60, 42, 73, 23]","[100, 100, 100, 99, 100, 35]","[100, 51, 54, 89, 75, 77]","[20, 100, 74, 67, 38, 36]","[100, 100, 100, 81, 100, 91]","[75, 87, 79, 25, 67, 95]","[17, 0, 94, 19, 5, 27]"
Between a monarch and their minister,"[40, 52, 75, 50, 24, 30, 65, 50]","[25, 13, 17, 0, 32, 1, 20, 16]","[20, 11, 31, 75, 50, 70, 60, 36]","[0, 0, 6, 0, 51, 30, 25, 2]","[100, 7, 88, 100, 81, 85, 50, 100]","[0, 0, 3, 0, 2, 10, 2, 2]","[100, 100, 70, 100, 100, 100, 5, 75]","[0, 1, 1, 0, 0, 65, 20, 1]","[90, 18, 83, 100, 97, 100, 35, 100]","[100, 92, 100, 100, 93, 75, 80, 100]","[0, 5, 24, 50, 58, 75, 49, 50]","[54, 48, 1, 100, 2, 0, 57, 0]","[24, 0, 5, 3, 2, 0, 2, 0]","[65, 100, 86, 70, 24, 100, 72, 20]","[27, 49, 8, 73, 23, 85, 70, 0]","[16, 51, 6, 9, 64, 10, 24, 0]","[52, 100, 29, 91, 90, 100, 42, 20]","[15, 50, 86, 71, 3, 90, 22, 0]","[3, 1, 1, 3, 1, 0, 1, 0]","[38, 49, 14, 16, 46, 80, 61, 80]","[69, 100, 89, 51, 15, 100, 81, 100]","[54, 1, 81, 29, 58, 90, 61, 0]","[1, 88, 80, 8, 0, 91, 49, 45, 100, 21, 55]","[50, 19, 21, 1, 67, 47, 52, 46, 2, 23, 10]","[50, 100, 90, 49, 85, 54, 46, 38, 45, 82, 60]","[50, 100, 100, 100, 96, 86, 75, 90, 100, 97, 100]","[34, 100, 90, 100, 83, 65, 65, 56, 9, 73, 44]","[33, 8, 61, 100, 48, 57, 42, 29, 33, 52, 35]","[3, 79, 100, 0, 0, 36, 13, 53, 27, 92, 25]","[1, 33, 85, 17, 53, 19, 33, 71, 86, 56, 90]","[5, 39, 85, 72, 90, 60, 44, 67, 47, 83, 100]","[50, 77, 60, 18, 70, 73, 65, 60, 69, 42, 50]","[1, 6, 50, 55, 46, 54, 38, 87, 57, 81, 25]"
Between a person and their crush,"[80, 25, 100, 4, 70, 73]","[100, 1, 60, 2, 30, 11]","[80, 20, 66, 4, 60, 25]","[80, 90, 96, 4, 70, 13]","[20, 1, 1, 84, 10, 16]","[70, 25, 86, 6, 20, 55]","[50, 15, 10, 25, 40, 21]","[70, 50, 70, 31, 30, 52]","[70, 50, 73, 4, 10, 56]","[5, 10, 33, 16, 30, 49]","[10, 25, 13, 33, 20, 32]","[90, 60, 80, 49, 0, 91, 6, 89, 78]","[100, 75, 100, 75, 33, 76, 8, 90, 12]","[95, 80, 50, 65, 53, 86, 46, 52, 92]","[0, 50, 10, 34, 21, 5, 100, 22, 100]","[15, 40, 20, 72, 21, 14, 10, 8, 100]","[0, 5, 0, 71, 48, 5, 100, 66, 100]","[95, 40, 80, 59, 50, 81, 75, 43, 13]","[95, 50, 75, 84, 69, 66, 2, 12, 0]","[15, 25, 30, 67, 51, 36, 2, 11, 0]","[90, 15, 70, 38, 49, 65, 2, 27, 8]","[5, 10, 15, 12, 21, 8, 83, 0, 43]","[2, 39, 33, 5, 1, 6]","[66, 19, 94, 5, 99, 55]","[68, 41, 91, 5, 55, 56]","[1, 11, 0, 0, 1, 5]","[43, 71, 86, 5, 75, 50]","[20, 31, 50, 5, 37, 46]","[66, 76, 52, 0, 68, 51]","[87, 53, 64, 5, 75, 4]","[64, 90, 91, 30, 79, 67]","[36, 50, 83, 5, 51, 54]","[70, 57, 53, 15, 14, 71]"
Between a person and their deceased spouse,"[82, 100, 100, 100, 24, 95, 75]","[70, 89, 49, 100, 49, 65, 67]","[100, 100, 98, 100, 99, 97, 92]","[88, 100, 90, 100, 99, 77, 100]","[1, 3, 2, 2, 5, 1, 0]","[100, 100, 95, 100, 99, 99, 100]","[1, 4, 20, 3, 5, 1, 10]","[100, 100, 94, 59, 99, 96, 100]","[3, 100, 98, 3, 5, 90, 6]","[1, 7, 4, 3, 5, 6, 3]","[100, 7, 12, 4, 48, 19, 4]","[95, 85, 91, 16, 100, 87]","[88, 95, 88, 100, 100, 98]","[84, 92, 8, 1, 74, 82]","[12, 6, 7, 1, 1, 9]","[33, 6, 7, 1, 1, 24]","[5, 5, 6, 2, 1, 8]","[82, 90, 10, 99, 100, 95]","[71, 5, 7, 100, 100, 91]","[9, 5, 29, 14, 6, 55]","[14, 5, 21, 9, 1, 94]","[5, 45, 13, 1, 9, 27]","[0, 10, 0, 100, 23, 0, 50, 100, 17, 47, 65]","[0, 100, 100, 100, 67, 100, 38, 98, 73, 39, 92]","[50, 100, 100, 34, 74, 100, 45, 100, 85, 93, 74]","[9, 1, 0, 6, 1, 0, 0, 1, 11, 2, 72]","[44, 50, 100, 19, 81, 100, 0, 100, 79, 20, 99]","[59, 100, 100, 46, 82, 100, 0, 100, 97, 92, 87]","[20, 2, 100, 26, 18, 49, 0, 100, 94, 87, 78]","[0, 2, 70, 100, 19, 100, 0, 60, 71, 4, 56]","[73, 100, 99, 99, 82, 100, 100, 100, 96, 94, 82]","[62, 100, 100, 97, 86, 100, 0, 100, 94, 98, 71]","[11, 1, 0, 5, 0, 76, 0, 100, 32, 20, 83]"
Between a person and their family friends,"[71, 100, 72, 100, 98, 78, 77]","[34, 100, 70, 91, 50, 72, 69]","[80, 91, 85, 55, 100, 93, 89]","[81, 100, 95, 93, 51, 74, 100]","[10, 4, 4, 3, 4, 5, 0]","[15, 55, 93, 85, 4, 70, 69]","[4, 88, 10, 16, 28, 2, 29]","[84, 100, 91, 69, 99, 92, 100]","[77, 100, 97, 12, 4, 64, 11]","[1, 8, 7, 7, 6, 6, 17]","[74, 7, 15, 4, 47, 9, 11]","[94, 68, 90, 65, 82, 10]","[98, 98, 88, 24, 93, 76]","[94, 96, 59, 50, 81, 68]","[12, 7, 76, 10, 1, 62]","[34, 6, 66, 23, 4, 42]","[9, 6, 78, 27, 1, 51]","[61, 81, 90, 48, 88, 88]","[28, 6, 78, 28, 21, 14]","[9, 50, 45, 16, 20, 55]","[20, 5, 70, 48, 9, 84]","[5, 44, 24, 15, 9, 20]","[100, 20, 0, 100, 41, 0, 80, 35, 47, 52, 64]","[100, 80, 70, 100, 94, 100, 100, 47, 74, 16, 92]","[100, 100, 90, 60, 92, 100, 100, 24, 78, 38, 73]","[34, 1, 0, 4, 1, 0, 0, 1, 11, 27, 71]","[56, 83, 80, 50, 7, 100, 100, 100, 82, 38, 99]","[100, 100, 75, 100, 98, 26, 100, 100, 98, 93, 87]","[81, 76, 50, 64, 16, 0, 48, 100, 96, 9, 78]","[92, 70, 50, 46, 68, 9, 50, 100, 50, 90, 57]","[83, 100, 90, 99, 100, 42, 100, 100, 96, 76, 88]","[90, 100, 75, 75, 89, 70, 50, 40, 92, 23, 70]","[10, 50, 31, 52, 92, 0, 53, 30, 38, 93, 83]"
