,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[77, 93, 30, 50, 58, 100, 86, 89, 66, 100, 37]","[52, 9, 15, 25, 68, 20, 30, 59, 6, 21, 16]","[82, 24, 51, 37, 33, 85, 75, 57, 53, 75, 62]","[78, 86, 28, 12, 60, 100, 53, 78, 99, 29, 70]","[24, 86, 52, 21, 86, 95, 42, 60, 50, 30, 100]","[44, 21, 77, 100, 83, 50, 74, 66, 90, 14, 46]","[78, 100, 91, 100, 100, 100, 67, 90, 76, 69, 91]","[87, 67, 38, 50, 4, 90, 57, 79, 96, 92, 72]","[29, 68, 65, 85, 69, 100, 63, 69, 7, 75, 86]","[86, 0, 50, 74, 35, 1, 72, 73, 4, 11, 3]","[17, 14, 90, 73, 22, 50, 30, 79, 5, 6, 52]","[14, 9, 100, 100, 11, 1, 60, 30, 40, 46, 94]","[83, 4, 100, 75, 11, 1, 20, 50, 13, 59, 60]","[83, 33, 9, 0, 11, 30, 10, 20, 8, 45, 12]","[46, 29, 89, 100, 37, 100, 20, 40, 29, 100, 3]","[55, 6, 1, 0, 6, 1, 20, 20, 53, 1, 70]","[96, 17, 100, 80, 29, 1, 20, 85, 84, 2, 92]","[82, 14, 100, 100, 81, 1, 10, 70, 20, 45, 100]","[85, 18, 100, 0, 29, 1, 0, 1, 86, 21, 53]","[65, 52, 35, 10, 68, 75, 90, 30, 52, 84, 53]","[91, 11, 66, 0, 52, 1, 50, 75, 48, 22, 55]","[20, 36, 1, 0, 15, 1, 0, 10, 61, 24, 0]","[25, 0, 95, 9, 10, 0, 40]","[28, 80, 10, 79, 100, 0, 50]","[11, 20, 81, 45, 28, 100, 60]","[14, 100, 97, 47, 3, 100, 90]","[49, 100, 58, 29, 14, 100, 50]","[64, 100, 76, 65, 100, 100, 90]","[10, 0, 31, 16, 100, 100, 50]","[56, 50, 29, 14, 11, 50, 40]","[85, 100, 96, 79, 100, 100, 100]","[21, 100, 64, 28, 100, 100, 75]","[100, 100, 93, 89, 100, 100, 90]"
Athlete and Referee,"[54, 50, 53, 51, 50, 70, 51, 63, 30]","[2, 100, 66, 49, 50, 0, 4, 68, 10]","[1, 50, 29, 18, 0, 75, 11, 24, 20]","[1, 1, 27, 9, 0, 30, 25, 24, 10]","[66, 50, 21, 15, 0, 20, 7, 6, 10]","[98, 100, 92, 11, 100, 100, 80, 88, 90]","[100, 100, 87, 78, 100, 100, 90, 68, 100]","[1, 100, 43, 50, 10, 31, 8, 58, 20]","[50, 35, 28, 50, 0, 100, 69, 47, 70]","[51, 1, 74, 28, 100, 100, 57, 84, 70]","[50, 30, 35, 16, 100, 100, 25, 51, 30]","[21, 86, 20, 35, 8, 1, 49]","[8, 16, 0, 10, 8, 1, 26]","[44, 12, 0, 45, 19, 80, 30]","[51, 100, 100, 7, 100, 50, 90]","[71, 4, 0, 8, 30, 1, 50]","[84, 100, 80, 7, 77, 100, 35]","[19, 41, 0, 7, 1, 10, 30]","[99, 100, 100, 7, 100, 1, 11]","[31, 85, 65, 40, 86, 50, 74]","[39, 50, 10, 45, 7, 20, 54]","[3, 36, 5, 7, 79, 10, 22]","[85, 100, 93, 20, 20, 64, 30, 59, 59]","[8, 20, 93, 20, 80, 27, 25, 20, 79]","[78, 32, 25, 1, 0, 25, 30, 32, 75]","[6, 14, 4, 1, 0, 14, 100, 58, 91]","[81, 100, 10, 50, 50, 53, 70, 53, 33]","[87, 82, 7, 1, 0, 7, 5, 49, 13]","[74, 100, 9, 50, 100, 12, 75, 47, 82]","[55, 100, 22, 60, 100, 95, 50, 62, 77]","[53, 100, 100, 100, 100, 98, 100, 40, 91]","[88, 33, 54, 60, 50, 63, 70, 31, 85]","[13, 18, 42, 40, 50, 77, 30, 35, 24]"
Athletic trainer and Trainee,"[61, 50, 100, 72, 50, 79, 6, 90, 71]","[4, 6, 18, 25, 30, 49, 12, 10, 34]","[82, 94, 74, 65, 20, 56, 13, 82, 70]","[33, 13, 37, 52, 50, 32, 25, 30, 37]","[58, 69, 0, 47, 10, 57, 26, 20, 5]","[97, 35, 100, 76, 100, 70, 100, 100, 36]","[95, 100, 34, 100, 100, 95, 37, 60, 85]","[6, 7, 20, 49, 0, 51, 62, 81, 100]","[92, 9, 39, 33, 20, 68, 32, 100, 7]","[91, 99, 100, 60, 100, 68, 78, 100, 99]","[82, 61, 100, 73, 100, 84, 67, 80, 100]","[100, 8, 70, 50, 42, 77, 84, 6, 81, 83, 27]","[60, 2, 1, 10, 9, 48, 26, 10, 31, 4, 4]","[100, 2, 10, 3, 1, 2, 6, 3, 100, 100, 66]","[100, 100, 50, 96, 6, 38, 34, 9, 26, 4, 90]","[30, 8, 59, 50, 16, 52, 96, 5, 16, 9, 8]","[100, 6, 75, 93, 92, 92, 81, 94, 79, 81, 84]","[70, 35, 50, 51, 69, 58, 53, 34, 67, 23, 53]","[0, 100, 100, 100, 17, 100, 0, 100, 1, 93, 97]","[68, 49, 50, 31, 79, 69, 35, 1, 1, 6, 43]","[39, 23, 30, 52, 22, 65, 29, 8, 88, 50, 44]","[47, 57, 55, 12, 70, 75, 0, 2, 51, 2, 78]","[75, 90, 33, 77, 15, 100, 94, 6]","[8, 85, 28, 57, 20, 79, 13, 6]","[51, 95, 31, 82, 51, 100, 100, 70]","[8, 35, 90, 12, 9, 0, 11, 4]","[84, 30, 52, 89, 81, 100, 45, 52]","[36, 40, 24, 4, 28, 78, 58, 50]","[18, 60, 47, 6, 35, 66, 69, 100]","[50, 30, 82, 10, 17, 72, 20, 49]","[91, 100, 73, 82, 58, 100, 100, 36]","[91, 85, 64, 20, 22, 100, 56, 4]","[78, 80, 90, 77, 80, 100, 55, 100]"
Aunt and Niece/Nephew,"[85, 84, 70, 86, 100, 90, 100, 38, 100, 70, 93]","[76, 78, 50, 0, 45, 10, 0, 53, 3, 40, 32]","[100, 72, 80, 100, 89, 70, 90, 86, 85, 90, 82]","[69, 59, 80, 100, 100, 100, 100, 39, 100, 91, 79]","[50, 100, 90, 100, 93, 100, 100, 27, 9, 90, 84]","[100, 7, 85, 21, 33, 20, 20, 21, 100, 10, 17]","[85, 36, 67, 100, 77, 40, 90, 42, 93, 100, 82]","[100, 100, 90, 100, 69, 90, 100, 35, 63, 100, 87]","[65, 79, 90, 0, 17, 90, 100, 24, 100, 7, 7]","[6, 3, 0, 0, 10, 1, 0, 24, 1, 6, 3]","[55, 46, 15, 0, 29, 5, 0, 71, 100, 3, 19]","[80, 88, 100, 100, 98, 100, 29, 95, 82]","[80, 100, 100, 100, 85, 90, 74, 65, 90]","[70, 94, 2, 52, 40, 70, 55, 30, 68]","[50, 81, 100, 100, 76, 3, 56, 0, 80]","[20, 91, 2, 4, 0, 5, 94, 0, 0]","[70, 89, 3, 7, 0, 4, 83, 0, 0]","[80, 98, 100, 86, 100, 99, 84, 65, 86]","[0, 1, 1, 100, 50, 1, 48, 0, 100]","[20, 33, 2, 0, 4, 44, 31, 10, 30]","[10, 31, 57, 16, 93, 54, 48, 0, 45]","[10, 22, 2, 25, 0, 3, 17, 0, 0]","[7, 100, 8, 94, 33, 100, 11, 50, 83, 15, 9, 14]","[49, 10, 73, 96, 55, 8, 25, 65, 0, 16, 8, 19]","[53, 90, 13, 97, 59, 95, 80, 50, 85, 78, 8, 57]","[50, 100, 4, 9, 8, 100, 100, 1, 100, 100, 6, 39]","[80, 90, 50, 71, 90, 50, 59, 45, 74, 50, 24, 66]","[100, 100, 79, 99, 98, 100, 81, 100, 65, 100, 38, 90]","[100, 80, 47, 100, 62, 50, 60, 100, 52, 7, 5, 13]","[100, 10, 87, 82, 51, 80, 21, 65, 4, 41, 2, 73]","[100, 100, 48, 1, 81, 80, 50, 50, 100, 100, 20, 64]","[98, 90, 84, 93, 93, 80, 65, 65, 100, 100, 18, 94]","[87, 90, 92, 5, 71, 80, 79, 85, 90, 5, 4, 89]"
Babysitter and Infant,"[99, 80, 79, 100, 80, 100, 77, 82, 100]","[1, 100, 4, 10, 0, 0, 7, 4, 0]","[100, 20, 75, 75, 65, 100, 80, 100, 80]","[51, 75, 89, 80, 40, 100, 61, 86, 100]","[50, 50, 82, 53, 50, 80, 51, 86, 25]","[10, 30, 8, 48, 50, 10, 31, 49, 10]","[100, 100, 98, 78, 90, 100, 100, 87, 100]","[1, 100, 98, 21, 0, 0, 14, 84, 30]","[100, 10, 3, 80, 100, 100, 88, 10, 100]","[50, 1, 13, 25, 30, 0, 5, 0, 30]","[99, 100, 87, 75, 40, 87, 88, 87, 40]","[68, 100, 60, 68, 47, 80, 20]","[62, 94, 70, 29, 100, 50, 50]","[2, 2, 85, 17, 100, 60, 30]","[100, 100, 100, 9, 100, 50, 81]","[3, 6, 0, 8, 6, 1, 40]","[38, 100, 100, 79, 88, 100, 6]","[91, 100, 75, 31, 77, 50, 71]","[82, 100, 100, 5, 100, 1, 8]","[2, 49, 15, 9, 3, 50, 30]","[2, 2, 60, 6, 83, 1, 61]","[1, 7, 10, 6, 6, 1, 20]","[20, 100, 24, 30, 35, 49, 50, 84, 13]","[6, 100, 4, 70, 0, 10, 90, 38, 80]","[4, 36, 95, 40, 50, 96, 100, 37, 77]","[5, 100, 72, 40, 0, 50, 70, 45, 84]","[93, 20, 96, 80, 100, 12, 50, 42, 69]","[8, 9, 93, 20, 0, 25, 30, 77, 56]","[86, 100, 95, 20, 100, 95, 40, 40, 47]","[89, 15, 96, 100, 100, 97, 100, 53, 94]","[52, 100, 100, 100, 100, 97, 100, 34, 100]","[79, 17, 99, 100, 100, 100, 100, 42, 100]","[85, 14, 91, 100, 100, 98, 100, 58, 100]"
Between Business Partners,"[49, 86, 74, 68, 75, 75]","[51, 100, 94, 74, 88, 93]","[36, 55, 86, 71, 19, 75]","[33, 37, 44, 20, 11, 50]","[23, 36, 26, 9, 9, 100]","[10, 36, 38, 14, 94, 13]","[100, 88, 86, 70, 50, 80]","[58, 85, 87, 21, 14, 73]","[21, 100, 22, 15, 9, 100]","[47, 17, 92, 100, 100, 93]","[23, 100, 37, 76, 93, 59]","[32, 50, 15, 95, 67, 43, 0, 100, 67, 3]","[11, 31, 2, 0, 36, 40, 30, 5, 3, 3]","[24, 71, 80, 100, 15, 36, 10, 88, 61, 66]","[10, 65, 89, 100, 73, 36, 0, 100, 100, 83]","[3, 88, 7, 0, 86, 28, 30, 56, 56, 37]","[35, 85, 93, 10, 91, 21, 100, 55, 58, 54]","[3, 17, 26, 17, 85, 41, 30, 86, 1, 16]","[100, 5, 3, 0, 100, 49, 100, 2, 1, 100]","[36, 21, 0, 74, 13, 42, 20, 56, 100, 59]","[70, 46, 34, 100, 85, 41, 100, 100, 100, 94]","[3, 23, 4, 32, 34, 62, 0, 7, 100, 6]","[40, 25, 45, 25, 9, 10, 92, 95, 18, 58]","[85, 41, 77, 30, 23, 60, 50, 62, 81, 62]","[75, 96, 65, 100, 69, 100, 83, 88, 69, 75]","[5, 0, 6, 0, 26, 80, 16, 94, 4, 82]","[75, 95, 12, 100, 80, 20, 82, 93, 33, 70]","[60, 96, 37, 85, 75, 72, 59, 83, 67, 65]","[70, 93, 79, 100, 84, 70, 100, 90, 78, 77]","[20, 65, 80, 70, 86, 17, 84, 83, 80, 50]","[25, 93, 54, 70, 90, 60, 100, 88, 78, 70]","[50, 98, 65, 80, 91, 69, 92, 99, 65, 60]","[20, 11, 87, 20, 57, 26, 19, 11, 9, 36]"
Between Close Friends,"[100, 100, 100, 100, 74, 97, 98, 100, 86, 100, 100, 96, 81, 100, 95, 88]","[100, 100, 100, 95, 70, 100, 73, 94, 91, 100, 93, 63, 93, 100, 100, 100]","[100, 100, 100, 93, 82, 24, 100, 90, 49, 100, 90, 95, 89, 100, 100, 95]","[82, 100, 100, 84, 72, 60, 100, 74, 57, 100, 88, 95, 88, 100, 99, 90]","[100, 100, 100, 92, 18, 79, 100, 54, 88, 100, 93, 96, 86, 100, 0, 96]","[2, 1, 2, 5, 77, 1, 89, 75, 3, 100, 2, 7, 7, 4, 82, 1]","[20, 2, 100, 17, 22, 81, 1, 90, 90, 5, 4, 12, 100, 100, 37, 2]","[98, 100, 100, 94, 85, 69, 100, 92, 80, 82, 92, 90, 84, 100, 100, 97]","[100, 1, 2, 11, 8, 1, 7, 93, 33, 100, 8, 85, 24, 4, 40, 1]","[4, 7, 1, 6, 11, 8, 2, 12, 10, 0, 3, 6, 15, 3, 13, 2]","[2, 7, 4, 6, 18, 39, 49, 16, 58, 100, 21, 27, 8, 100, 12, 4]","[100, 100, 97, 84, 100, 100, 100, 95, 100, 100]","[90, 100, 99, 88, 50, 95, 100, 100, 100, 95]","[3, 3, 88, 0, 1, 90, 90, 22, 100, 49]","[95, 83, 62, 100, 100, 0, 100, 1, 100, 100]","[20, 11, 6, 0, 1, 0, 0, 1, 0, 1]","[95, 77, 79, 0, 1, 0, 35, 7, 20, 19]","[95, 100, 91, 86, 100, 100, 100, 89, 100, 100]","[5, 59, 82, 77, 100, 0, 10, 5, 100, 1]","[10, 18, 11, 10, 1, 15, 0, 1, 20, 1]","[75, 94, 79, 21, 1, 85, 0, 11, 70, 50]","[3, 0, 0, 0, 1, 0, 0, 1, 0, 2]","[0, 86, 46, 100, 48, 43, 0, 48]","[1, 7, 100, 0, 62, 57, 0, 57]","[97, 89, 65, 100, 22, 48, 100, 63]","[99, 98, 27, 100, 68, 48, 100, 60]","[100, 90, 100, 100, 59, 100, 100, 41]","[95, 90, 100, 86, 59, 71, 100, 43]","[100, 86, 100, 100, 66, 60, 100, 36]","[100, 89, 57, 100, 25, 50, 100, 29]","[100, 93, 76, 100, 29, 92, 100, 66]","[100, 87, 75, 100, 48, 86, 100, 51]","[53, 6, 95, 0, 27, 5, 0, 50]"
Between Co-workers,"[84, 99, 90, 89, 62, 62, 100, 89, 76]","[77, 60, 69, 98, 90, 100, 100, 100, 91]","[6, 9, 51, 42, 47, 7, 91, 50, 23]","[26, 34, 34, 83, 7, 9, 79, 77, 6]","[18, 24, 27, 85, 49, 18, 86, 82, 6]","[87, 87, 91, 25, 100, 76, 27, 23, 96]","[95, 91, 84, 43, 67, 100, 100, 50, 98]","[19, 26, 17, 53, 64, 15, 14, 61, 19]","[12, 19, 21, 13, 2, 7, 1, 7, 10]","[79, 77, 74, 12, 73, 100, 98, 18, 72]","[83, 80, 74, 77, 35, 100, 94, 74, 89]","[87, 23, 12]","[10, 6, 8]","[100, 2, 17]","[7, 100, 85]","[5, 1, 73]","[46, 55, 77]","[55, 59, 27]","[0, 100, 100]","[15, 42, 55]","[77, 13, 80]","[7, 1, 22]","[77, 4, 50, 80, 95]","[18, 9, 79, 0, 22]","[87, 79, 79, 100, 85]","[1, 98, 99, 0, 16]","[74, 76, 84, 35, 12]","[53, 96, 56, 35, 8]","[100, 89, 100, 70, 85]","[83, 50, 85, 90, 74]","[100, 56, 93, 100, 82]","[53, 92, 81, 30, 38]","[54, 50, 35, 50, 6]"
Between Facebook Friends,"[80, 50, 25, 75, 23, 63, 29, 78]","[22, 80, 25, 100, 28, 83, 87, 84]","[26, 45, 49, 85, 58, 18, 19, 8]","[30, 66, 49, 93, 60, 26, 93, 54]","[33, 92, 51, 100, 42, 79, 71, 34]","[100, 46, 50, 57, 4, 0, 79, 53]","[76, 93, 76, 97, 1, 100, 8, 86]","[50, 56, 51, 82, 80, 20, 3, 3]","[44, 68, 10, 12, 1, 37, 19, 11]","[50, 26, 65, 1, 53, 48, 77, 1]","[50, 14, 79, 2, 64, 8, 84, 74]","[100, 31, 88, 7, 24, 25, 69, 75, 10, 88, 90, 50]","[67, 43, 81, 5, 41, 52, 50, 10, 2, 76, 70, 50]","[80, 42, 79, 19, 49, 64, 29, 50, 40, 62, 93, 20]","[3, 6, 1, 100, 13, 91, 80, 100, 1, 2, 65, 100]","[2, 5, 1, 12, 25, 7, 4, 0, 1, 3, 33, 10]","[60, 2, 45, 10, 44, 6, 37, 0, 10, 3, 70, 25]","[60, 30, 100, 5, 49, 67, 48, 30, 20, 75, 91, 50]","[3, 99, 1, 100, 30, 97, 100, 100, 5, 87, 53, 10]","[26, 15, 4, 9, 53, 5, 7, 35, 30, 5, 25, 35]","[27, 5, 63, 4, 47, 82, 48, 0, 2, 4, 19, 100]","[3, 1, 1, 2, 25, 5, 1, 10, 2, 1, 12, 10]","[15, 17, 1, 90, 79, 35, 90, 13, 41]","[60, 73, 78, 50, 26, 68, 15, 7, 39]","[60, 35, 73, 70, 74, 47, 96, 71, 80]","[10, 78, 90, 95, 90, 6, 27, 52, 100]","[100, 50, 56, 40, 50, 22, 90, 100, 72]","[40, 31, 76, 30, 70, 46, 58, 100, 73]","[75, 24, 25, 50, 60, 39, 60, 95, 91]","[2, 18, 50, 25, 24, 11, 48, 32, 47]","[81, 50, 86, 71, 81, 44, 82, 100, 100]","[80, 39, 64, 60, 75, 47, 25, 91, 74]","[10, 36, 15, 16, 20, 50, 46, 6, 50]"
Between Siblings,"[23, 75, 50, 44, 75, 60, 90, 70, 89, 70, 70, 77, 54]","[100, 80, 55, 15, 27, 50, 85, 46, 100, 100, 70, 79, 52]","[29, 66, 80, 37, 99, 70, 90, 100, 99, 100, 60, 100, 50]","[100, 82, 70, 80, 99, 100, 100, 100, 84, 90, 100, 100, 61]","[100, 82, 100, 98, 100, 100, 100, 100, 9, 100, 70, 100, 91]","[47, 63, 90, 56, 1, 50, 10, 100, 18, 76, 40, 88, 92]","[64, 50, 100, 88, 99, 80, 90, 100, 32, 95, 80, 100, 72]","[100, 51, 60, 100, 99, 90, 95, 100, 59, 87, 80, 100, 80]","[59, 8, 50, 52, 99, 67, 60, 10, 19, 19, 20, 0, 52]","[2, 8, 35, 12, 2, 0, 0, 11, 38, 67, 30, 0, 10]","[65, 50, 30, 100, 52, 0, 30, 5, 78, 15, 70, 22, 86]","[100, 36, 100, 95, 100, 83, 75, 100, 100, 90, 99]","[100, 28, 90, 99, 100, 10, 80, 100, 100, 80, 74]","[41, 66, 60, 25, 46, 10, 55, 50, 100, 70, 14]","[100, 18, 1, 100, 100, 96, 10, 100, 100, 90, 25]","[0, 58, 1, 0, 1, 5, 20, 2, 0, 10, 6]","[15, 52, 1, 0, 43, 72, 20, 3, 3, 50, 54]","[89, 61, 70, 70, 100, 63, 80, 100, 100, 80, 87]","[100, 39, 40, 0, 100, 100, 100, 2, 100, 100, 100]","[59, 70, 50, 40, 63, 85, 50, 61, 30, 50, 54]","[7, 39, 10, 70, 76, 45, 55, 66, 67, 0, 83]","[16, 62, 1, 15, 21, 7, 5, 18, 11, 0, 30]","[18, 67, 43, 34, 94, 30, 16, 12, 95, 50, 100, 28]","[14, 0, 50, 77, 98, 45, 8, 6, 1, 42, 100, 16]","[59, 100, 97, 80, 4, 70, 85, 80, 100, 83, 100, 65]","[100, 100, 100, 100, 36, 10, 100, 81, 100, 100, 100, 4]","[100, 100, 100, 52, 58, 42, 72, 54, 100, 91, 70, 81]","[100, 100, 100, 95, 4, 96, 100, 98, 100, 70, 100, 100]","[82, 80, 69, 95, 67, 79, 74, 39, 90, 57, 80, 34]","[93, 85, 50, 95, 52, 7, 80, 48, 90, 72, 100, 100]","[100, 100, 100, 100, 25, 61, 67, 78, 100, 100, 100, 18]","[89, 100, 100, 87, 22, 82, 86, 82, 90, 86, 100, 70]","[42, 0, 35, 13, 80, 50, 9, 44, 10, 20, 20, 30]"
Between a monarch and their minister,"[35, 41, 17, 50, 51, 78, 22, 43, 24, 0]","[0, 51, 15, 30, 1, 0, 0, 12, 5, 0]","[20, 31, 9, 41, 19, 0, 70, 33, 20, 10]","[10, 29, 5, 15, 8, 6, 11, 26, 5, 0]","[0, 39, 12, 8, 6, 5, 0, 7, 5, 10]","[100, 39, 5, 1, 100, 100, 0, 92, 83, 100]","[100, 38, 12, 75, 90, 27, 100, 41, 21, 96]","[25, 45, 8, 22, 4, 39, 0, 18, 15, 18]","[0, 42, 7, 50, 100, 56, 100, 16, 84, 97]","[53, 37, 100, 61, 96, 86, 100, 86, 100, 90]","[21, 36, 99, 79, 50, 78, 0, 79, 97, 24]","[47, 81, 13, 40, 18, 27, 67]","[0, 10, 4, 3, 3, 8, 4]","[100, 100, 16, 100, 97, 8, 93]","[53, 100, 10, 90, 66, 6, 10]","[8, 15, 79, 36, 15, 6, 47]","[23, 100, 84, 80, 87, 22, 54]","[0, 75, 21, 3, 4, 6, 54]","[0, 0, 95, 4, 5, 11, 100]","[43, 35, 72, 7, 15, 5, 53]","[75, 80, 94, 3, 91, 14, 87]","[47, 70, 35, 11, 1, 17, 84]","[100, 96, 7, 10, 90]","[0, 65, 48, 100, 90]","[71, 65, 52, 13, 91]","[0, 10, 0, 100, 1]","[99, 90, 100, 54, 100]","[64, 15, 33, 15, 45]","[82, 78, 75, 89, 83]","[82, 75, 49, 52, 72]","[90, 62, 50, 74, 100]","[38, 57, 10, 72, 83]","[52, 48, 26, 100, 16]"
Between a person and their crush,"[100, 75, 84, 86, 37, 90, 50, 100, 60, 100]","[100, 1, 89, 85, 17, 53, 67, 0, 20, 11]","[100, 50, 100, 44, 20, 84, 43, 100, 15, 38]","[100, 100, 100, 59, 32, 97, 91, 100, 10, 100]","[100, 100, 100, 100, 3, 17, 64, 100, 5, 100]","[81, 25, 100, 42, 9, 5, 60, 1, 75, 3]","[1, 25, 75, 0, 0, 2, 18, 1, 98, 1]","[7, 65, 85, 37, 4, 96, 72, 100, 80, 71]","[37, 60, 76, 54, 100, 87, 13, 100, 20, 65]","[7, 25, 4, 50, 84, 6, 8, 11, 15, 94]","[51, 25, 0, 18, 3, 7, 25, 2, 75, 25]","[23, 68, 85, 100, 86, 4, 51, 100, 92, 23, 92]","[66, 37, 83, 100, 91, 1, 88, 74, 89, 88, 100]","[9, 24, 43, 90, 20, 2, 42, 100, 44, 21, 3]","[95, 31, 74, 84, 21, 2, 10, 3, 62, 80, 57]","[11, 58, 12, 3, 12, 3, 63, 10, 20, 68, 1]","[4, 29, 27, 39, 23, 4, 62, 45, 96, 59, 4]","[85, 100, 78, 89, 82, 80, 100, 84, 67, 86, 100]","[31, 44, 16, 50, 75, 43, 23, 92, 100, 0, 1]","[58, 19, 34, 79, 31, 8, 8, 20, 38, 39, 1]","[12, 90, 49, 44, 72, 7, 2, 19, 18, 73, 65]","[6, 33, 5, 80, 25, 5, 3, 16, 16, 1, 3]","[25, 6, 5, 100, 100, 50, 21]","[39, 5, 75, 51, 77, 80, 95]","[37, 10, 80, 20, 56, 80, 35]","[45, 4, 91, 100, 100, 100, 3]","[34, 3, 94, 32, 14, 100, 75]","[55, 5, 72, 16, 49, 79, 37]","[48, 5, 57, 8, 15, 100, 15]","[29, 11, 64, 9, 50, 100, 42]","[51, 8, 30, 46, 66, 100, 58]","[31, 5, 59, 7, 48, 100, 7]","[30, 30, 33, 5, 11, 69, 64]"
Between a person and their deceased spouse,"[100, 94, 85, 100, 100, 3, 0]","[100, 100, 91, 0, 94, 1, 63]","[100, 100, 93, 100, 100, 3, 63]","[100, 94, 100, 53, 100, 100, 17]","[100, 100, 100, 100, 100, 98, 58]","[100, 2, 3, 0, 0, 63, 40]","[51, 2, 14, 0, 0, 99, 80]","[100, 94, 94, 100, 100, 100, 76]","[100, 1, 9, 0, 0, 99, 82]","[0, 9, 9, 0, 0, 4, 72]","[0, 9, 100, 0, 0, 3, 92]","[7, 100, 100, 100, 100, 100, 6, 100, 100, 100]","[81, 100, 100, 100, 100, 100, 90, 100, 100, 96]","[7, 95, 100, 2, 1, 2, 1, 100, 48, 58]","[87, 100, 100, 100, 100, 100, 1, 100, 81, 74]","[7, 0, 4, 2, 1, 0, 1, 100, 10, 17]","[87, 1, 5, 3, 2, 0, 10, 25, 100, 61]","[86, 100, 94, 100, 100, 100, 90, 100, 100, 95]","[5, 9, 43, 100, 100, 0, 0, 0, 100, 100]","[65, 2, 4, 1, 1, 5, 0, 0, 50, 20]","[67, 96, 18, 2, 1, 3, 0, 0, 100, 98]","[23, 1, 7, 4, 1, 0, 0, 0, 0, 1]","[100, 62, 1, 0]","[30, 2, 100, 0]","[100, 100, 52, 39]","[100, 100, 99, 95]","[0, 7, 2, 0]","[100, 100, 99, 50]","[0, 14, 50, 0]","[0, 1, 99, 23]","[100, 100, 100, 30]","[100, 100, 98, 0]","[0, 9, 6, 0]"
Between a person and their family friends,"[100, 86, 75, 100, 74, 99, 100]","[100, 86, 61, 44, 79, 75, 16]","[61, 80, 70, 100, 84, 47, 7]","[86, 81, 91, 100, 100, 99, 24]","[86, 100, 100, 100, 100, 98, 27]","[48, 11, 10, 0, 11, 99, 48]","[51, 11, 51, 18, 0, 99, 45]","[75, 91, 83, 100, 83, 99, 74]","[100, 1, 5, 12, 0, 100, 25]","[5, 14, 11, 0, 0, 3, 45]","[0, 1, 100, 0, 0, 3, 93]","[81, 88, 86, 1, 67, 47, 33, 80, 87, 91]","[75, 82, 56, 100, 91, 52, 17, 40, 100, 88]","[8, 37, 68, 2, 17, 16, 60, 60, 64, 58]","[50, 100, 58, 100, 96, 89, 16, 80, 92, 96]","[8, 0, 37, 3, 1, 9, 30, 65, 0, 2]","[12, 16, 32, 2, 67, 6, 30, 60, 100, 60]","[86, 92, 72, 100, 79, 81, 60, 60, 100, 66]","[4, 100, 78, 2, 8, 87, 0, 30, 12, 1]","[42, 10, 35, 52, 16, 4, 10, 25, 38, 12]","[61, 94, 41, 6, 62, 2, 10, 33, 100, 90]","[10, 0, 19, 10, 7, 0, 1, 10, 0, 1]","[100, 73, 17, 15]","[20, 8, 55, 14]","[100, 100, 54, 63]","[100, 100, 99, 80]","[100, 100, 97, 85]","[100, 100, 76, 65]","[50, 22, 50, 60]","[30, 100, 98, 65]","[100, 100, 100, 73]","[100, 100, 99, 70]","[0, 8, 51, 55]"
