,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[87, 55, 85, 100, 30, 62, 91, 100, 51, 61]","[13, 5, 0, 0, 40, 9, 30, 0, 33, 50]","[76, 5, 30, 82, 25, 73, 11, 88, 28, 50]","[42, 70, 100, 100, 22, 93, 87, 100, 49, 60]","[21, 45, 20, 0, 50, 100, 73, 0, 61, 38]","[92, 1, 80, 75, 10, 71, 62, 91, 42, 4]","[84, 70, 90, 100, 66, 83, 93, 100, 64, 44]","[83, 70, 81, 100, 19, 100, 92, 98, 75, 54]","[37, 5, 29, 0, 21, 72, 13, 99, 74, 45]","[25, 5, 18, 0, 34, 63, 10, 0, 53, 50]","[75, 5, 10, 0, 19, 100, 86, 9, 60, 60]","[0, 63, 1, 42, 70, 16, 80, 35, 0, 76]","[96, 80, 99, 39, 62, 18, 64, 13, 50, 32]","[60, 40, 99, 54, 71, 5, 34, 19, 10, 31]","[67, 47, 2, 44, 19, 1, 72, 45, 1, 24]","[63, 2, 8, 46, 8, 1, 73, 54, 1, 29]","[93, 81, 8, 49, 10, 5, 77, 32, 15, 28]","[96, 44, 86, 54, 42, 0, 82, 58, 2, 60]","[59, 95, 94, 50, 85, 4, 89, 25, 1, 69]","[7, 1, 11, 61, 7, 0, 83, 34, 1, 27]","[66, 56, 16, 56, 82, 0, 71, 40, 1, 52]","[82, 1, 18, 54, 5, 0, 70, 19, 1, 27]","[100, 38, 90, 57, 83, 75, 60, 100, 94, 60, 63]","[98, 22, 80, 35, 85, 90, 90, 99, 80, 64, 42]","[100, 38, 95, 50, 64, 80, 70, 99, 90, 71, 39]","[81, 39, 20, 15, 63, 3, 1, 2, 15, 28, 47]","[100, 23, 60, 76, 68, 3, 10, 5, 85, 73, 59]","[100, 39, 100, 62, 99, 100, 100, 3, 98, 66, 61]","[70, 18, 10, 17, 64, 2, 1, 5, 58, 36, 41]","[100, 16, 60, 5, 59, 1, 1, 1, 10, 79, 71]","[100, 17, 60, 83, 99, 100, 50, 57, 82, 80, 39]","[100, 16, 80, 50, 64, 13, 90, 96, 98, 89, 48]","[98, 29, 100, 100, 79, 100, 100, 95, 85, 6, 91]"
Athlete and Referee,"[91, 50, 40, 48, 87, 50, 57, 30, 46, 50, 25, 33]","[100, 49, 20, 47, 27, 54, 58, 39, 68, 60, 23, 74]","[0, 50, 50, 48, 19, 50, 58, 68, 29, 70, 61, 22]","[0, 27, 40, 58, 6, 57, 44, 43, 21, 5, 19, 7]","[100, 86, 90, 72, 100, 63, 52, 75, 29, 100, 81, 65]","[0, 48, 30, 69, 6, 12, 41, 61, 25, 2, 5, 8]","[100, 34, 45, 72, 100, 11, 40, 84, 24, 100, 90, 100]","[0, 5, 29, 54, 73, 13, 43, 60, 15, 2, 37, 67]","[100, 16, 60, 57, 90, 7, 96, 33, 39, 2, 43, 33]","[82, 20, 85, 50, 96, 19, 41, 77, 13, 100, 58, 60]","[96, 26, 90, 48, 42, 13, 26, 46, 20, 100, 17, 53]","[3, 53, 58, 0, 62, 89, 97, 2, 50, 77, 20]","[15, 36, 57, 0, 14, 2, 26, 2, 57, 8, 14]","[14, 16, 58, 80, 69, 75, 8, 80, 71, 50, 36]","[23, 9, 57, 50, 13, 50, 81, 1, 48, 30, 17]","[19, 6, 58, 50, 8, 45, 86, 1, 39, 52, 7]","[48, 6, 51, 100, 50, 21, 66, 3, 40, 45, 5]","[30, 82, 51, 30, 23, 96, 85, 1, 91, 56, 4]","[38, 7, 66, 50, 25, 1, 5, 1, 13, 8, 3]","[28, 45, 64, 40, 22, 95, 63, 50, 38, 50, 3]","[22, 85, 63, 100, 8, 9, 30, 70, 48, 50, 72]","[31, 6, 61, 0, 14, 4, 6, 1, 25, 21, 3]","[93, 90, 66, 47, 40, 92, 75, 80, 100, 63]","[76, 100, 57, 79, 21, 90, 71, 90, 90, 51]","[35, 32, 41, 65, 47, 50, 100, 67, 31, 10]","[93, 100, 81, 79, 86, 90, 100, 84, 100, 74]","[15, 100, 45, 64, 45, 51, 49, 53, 43, 10]","[13, 0, 33, 6, 43, 6, 54, 20, 26, 7]","[90, 100, 87, 8, 65, 93, 21, 78, 88, 45]","[84, 100, 50, 82, 23, 87, 33, 47, 85, 32]","[41, 50, 31, 80, 58, 93, 30, 53, 73, 70]","[52, 92, 59, 82, 51, 61, 47, 66, 76, 10]","[20, 20, 65, 64, 22, 69, 30, 21, 23, 22]"
Athletic trainer and Trainee,"[77, 78, 89, 96, 76, 91, 80, 93, 84, 70, 63]","[32, 17, 6, 95, 34, 71, 15, 8, 28, 38, 71]","[22, 11, 38, 74, 67, 73, 76, 19, 70, 74, 67]","[29, 0, 6, 8, 75, 8, 26, 4, 65, 24, 31]","[69, 100, 79, 61, 88, 16, 61, 83, 70, 87, 69]","[11, 26, 13, 53, 61, 32, 20, 4, 16, 66, 56]","[99, 100, 88, 77, 83, 100, 78, 98, 98, 94, 70]","[47, 0, 60, 51, 56, 96, 42, 11, 12, 30, 38]","[19, 9, 80, 77, 60, 71, 81, 83, 85, 49, 45]","[41, 0, 40, 58, 75, 57, 30, 75, 79, 69, 36]","[99, 63, 51, 46, 25, 68, 29, 9, 85, 28, 61]","[77, 100, 29, 100, 48, 10, 31, 88, 30, 85]","[76, 70, 13, 13, 55, 75, 14, 88, 46, 82]","[52, 90, 13, 100, 59, 85, 76, 84, 89, 94]","[56, 5, 14, 100, 64, 70, 67, 82, 78, 90]","[64, 15, 36, 81, 59, 25, 6, 82, 52, 92]","[88, 100, 69, 35, 65, 90, 75, 85, 78, 89]","[41, 75, 19, 84, 63, 82, 11, 79, 79, 93]","[12, 10, 76, 11, 30, 10, 3, 78, 0, 93]","[24, 10, 9, 23, 58, 65, 3, 65, 52, 85]","[78, 75, 99, 15, 55, 10, 68, 75, 78, 89]","[20, 1, 61, 81, 36, 39, 4, 84, 62, 12]","[100, 33, 57, 73, 51, 82, 58, 11, 76, 53, 21]","[100, 23, 13, 75, 44, 78, 76, 41, 86, 44, 80]","[100, 59, 65, 75, 40, 85, 40, 30, 60, 67, 45]","[100, 77, 95, 89, 32, 79, 80, 79, 100, 97, 98]","[100, 63, 60, 72, 25, 77, 50, 63, 75, 94, 77]","[0, 80, 7, 9, 29, 8, 22, 55, 40, 48, 11]","[100, 88, 50, 7, 20, 9, 33, 60, 66, 57, 80]","[100, 81, 8, 92, 35, 80, 70, 15, 50, 80, 56]","[100, 76, 62, 62, 18, 53, 82, 68, 59, 60, 51]","[100, 44, 57, 73, 28, 65, 87, 50, 84, 87, 54]","[100, 66, 54, 77, 25, 100, 92, 50, 58, 70, 56]"
Aunt and Niece/Nephew,"[79, 91, 77, 84, 92, 80, 82, 81, 81, 75]","[74, 32, 20, 80, 15, 56, 94, 1, 58, 25]","[62, 83, 92, 72, 86, 69, 18, 70, 76, 72]","[69, 78, 72, 59, 84, 52, 14, 66, 54, 79]","[53, 63, 24, 76, 39, 24, 22, 1, 75, 17]","[68, 100, 90, 72, 90, 80, 98, 75, 82, 75]","[53, 83, 95, 50, 87, 92, 88, 92, 91, 17]","[52, 59, 93, 22, 88, 25, 91, 64, 71, 84]","[63, 83, 50, 21, 8, 59, 91, 73, 98, 11]","[48, 20, 11, 38, 7, 19, 11, 33, 63, 81]","[34, 61, 72, 62, 82, 49, 30, 20, 84, 98]","[6, 14, 92, 53, 68, 84, 100, 97, 100, 68]","[100, 34, 80, 64, 43, 80, 100, 80, 80, 33]","[92, 34, 99, 60, 63, 70, 64, 60, 90, 16]","[0, 6, 3, 17, 30, 20, 13, 2, 1, 3]","[0, 3, 5, 6, 33, 9, 24, 2, 2, 4]","[0, 42, 91, 9, 46, 11, 30, 76, 1, 5]","[100, 59, 100, 50, 61, 97, 38, 84, 1, 15]","[0, 45, 2, 5, 72, 3, 7, 2, 90, 1]","[0, 50, 10, 16, 26, 22, 16, 3, 1, 19]","[82, 46, 91, 53, 44, 92, 36, 91, 90, 79]","[1, 51, 17, 17, 10, 66, 12, 4, 70, 2]","[78, 76, 66, 87, 67, 71, 67, 48, 72, 84, 88]","[78, 79, 75, 88, 71, 78, 59, 66, 52, 79, 79]","[83, 95, 80, 83, 62, 87, 69, 59, 100, 83, 75]","[78, 17, 33, 15, 60, 98, 28, 9, 100, 59, 40]","[72, 76, 85, 93, 57, 98, 64, 58, 100, 72, 41]","[56, 100, 94, 92, 82, 86, 65, 75, 100, 75, 100]","[63, 39, 80, 57, 53, 94, 56, 78, 47, 82, 75]","[60, 94, 81, 77, 96, 78, 56, 64, 100, 18, 100]","[83, 72, 74, 67, 55, 4, 33, 66, 100, 70, 77]","[56, 79, 91, 88, 15, 87, 65, 74, 38, 89, 98]","[19, 95, 79, 97, 42, 86, 46, 91, 100, 87, 87]"
Babysitter and Infant,"[100, 68, 100, 90, 100, 14, 46, 60, 80, 90, 54, 27]","[11, 50, 20, 94, 24, 47, 54, 24, 67, 40, 44, 76]","[99, 55, 50, 89, 79, 26, 36, 55, 58, 76, 42, 18]","[0, 54, 60, 100, 33, 24, 47, 56, 66, 70, 37, 7]","[0, 55, 40, 8, 73, 41, 50, 75, 75, 95, 43, 13]","[100, 66, 65, 96, 66, 19, 60, 81, 48, 75, 58, 76]","[97, 65, 99, 97, 29, 12, 65, 47, 57, 100, 61, 73]","[0, 41, 45, 98, 65, 8, 49, 61, 55, 30, 10, 27]","[100, 52, 85, 13, 8, 12, 94, 69, 82, 40, 26, 72]","[75, 47, 40, 11, 34, 34, 43, 65, 59, 90, 11, 28]","[0, 52, 98, 11, 15, 16, 78, 77, 55, 100, 68, 49]","[20, 18, 66, 0, 78, 68, 7, 4, 34, 21, 45]","[17, 39, 66, 100, 55, 65, 77, 81, 96, 51, 61]","[17, 6, 73, 50, 69, 11, 98, 94, 53, 72, 68]","[17, 75, 73, 100, 91, 72, 63, 100, 93, 85, 50]","[6, 5, 70, 70, 16, 61, 11, 1, 7, 53, 3]","[18, 90, 74, 100, 92, 95, 96, 100, 100, 85, 88]","[36, 79, 78, 70, 81, 75, 89, 80, 100, 69, 85]","[25, 5, 66, 0, 5, 6, 83, 1, 7, 14, 3]","[33, 48, 70, 0, 2, 9, 3, 1, 58, 9, 8]","[24, 54, 76, 100, 70, 19, 100, 1, 97, 58, 86]","[28, 5, 80, 20, 1, 21, 9, 1, 18, 6, 2]","[74, 40, 50, 61, 60, 69, 87, 80, 70, 30]","[67, 33, 37, 65, 53, 80, 70, 91, 85, 80]","[38, 76, 63, 30, 63, 10, 100, 80, 75, 81]","[78, 100, 14, 79, 25, 80, 77, 86, 100, 89]","[26, 100, 37, 38, 36, 7, 82, 82, 20, 90]","[37, 30, 26, 74, 23, 70, 73, 20, 31, 29]","[15, 27, 30, 7, 5, 70, 84, 48, 56, 90]","[93, 100, 70, 91, 70, 80, 72, 94, 89, 90]","[45, 73, 40, 89, 48, 86, 48, 87, 52, 50]","[63, 100, 47, 84, 34, 82, 32, 88, 54, 87]","[75, 17, 75, 84, 85, 85, 36, 84, 71, 95]"
Between Business Partners,"[98, 87, 87, 10, 87, 100, 50, 85, 83, 28]","[96, 100, 46, 11, 85, 90, 100, 96, 82, 65]","[84, 87, 55, 18, 76, 95, 50, 77, 85, 55]","[82, 6, 37, 11, 63, 100, 3, 9, 93, 29]","[40, 97, 100, 9, 58, 97, 100, 88, 77, 79]","[52, 3, 57, 62, 75, 7, 30, 65, 80, 63]","[100, 100, 90, 62, 53, 98, 100, 9, 77, 31]","[4, 80, 17, 62, 56, 10, 4, 95, 69, 66]","[98, 98, 83, 68, 42, 100, 82, 100, 86, 63]","[34, 100, 69, 98, 64, 96, 100, 42, 78, 78]","[85, 92, 80, 90, 73, 92, 100, 38, 76, 26]","[40, 62, 32, 67, 96, 43, 71, 44, 70, 34]","[14, 51, 53, 76, 77, 10, 85, 3, 40, 30]","[74, 68, 80, 76, 98, 91, 78, 55, 79, 78]","[66, 86, 94, 83, 67, 85, 69, 89, 74, 100]","[66, 75, 84, 78, 58, 82, 67, 85, 61, 100]","[86, 71, 79, 87, 100, 72, 9, 58, 75, 100]","[42, 58, 90, 69, 80, 72, 55, 4, 55, 36]","[1, 24, 19, 14, 64, 4, 44, 5, 4, 7]","[35, 42, 14, 79, 100, 74, 62, 6, 9, 33]","[80, 71, 96, 83, 100, 94, 83, 34, 73, 87]","[2, 28, 27, 27, 89, 9, 30, 9, 23, 21]","[46, 82, 57, 50, 57, 39, 82, 96, 74, 88]","[56, 56, 29, 54, 36, 26, 85, 100, 84, 93]","[74, 84, 63, 68, 61, 28, 86, 100, 50, 85]","[23, 79, 19, 35, 69, 28, 86, 100, 69, 10]","[68, 78, 63, 50, 71, 47, 84, 87, 100, 80]","[45, 76, 77, 66, 35, 41, 71, 100, 100, 56]","[63, 76, 80, 51, 81, 45, 72, 100, 100, 92]","[58, 68, 74, 51, 85, 56, 65, 100, 100, 81]","[56, 49, 83, 54, 53, 41, 62, 90, 100, 60]","[52, 87, 80, 57, 84, 29, 85, 99, 78, 85]","[39, 15, 17, 57, 10, 29, 33, 10, 51, 25]"
Between Close Friends,"[92, 91, 91, 87, 43, 85, 100, 95, 60, 89, 65]","[90, 86, 85, 100, 100, 90, 100, 45, 56, 90, 66]","[69, 95, 93, 91, 93, 95, 97, 54, 59, 80, 58]","[69, 84, 82, 97, 88, 5, 100, 89, 66, 88, 77]","[13, 94, 94, 4, 3, 3, 5, 6, 51, 6, 76]","[90, 82, 88, 98, 100, 65, 100, 67, 37, 90, 74]","[8, 79, 89, 3, 97, 10, 3, 45, 56, 22, 65]","[79, 83, 86, 100, 100, 90, 100, 46, 54, 70, 51]","[78, 75, 63, 100, 77, 95, 99, 59, 60, 36, 58]","[21, 74, 80, 3, 6, 6, 10, 27, 62, 11, 63]","[69, 89, 85, 95, 90, 5, 30, 97, 60, 22, 71]","[3, 21, 8, 70, 24, 74, 19, 80, 77]","[64, 81, 11, 100, 68, 79, 100, 88, 74]","[100, 94, 20, 100, 39, 79, 100, 95, 85]","[2, 94, 13, 1, 37, 67, 4, 5, 43]","[95, 25, 43, 1, 35, 86, 8, 7, 21]","[7, 68, 24, 1, 19, 73, 10, 8, 18]","[92, 92, 17, 81, 49, 82, 100, 91, 62]","[36, 60, 25, 1, 59, 86, 1, 1, 66]","[4, 37, 36, 100, 13, 6, 8, 11, 87]","[100, 89, 27, 100, 84, 66, 11, 63, 69]","[6, 9, 37, 1, 7, 66, 13, 9, 40]","[70, 76, 90, 11, 49, 52, 87, 97, 71, 83, 10, 96]","[37, 89, 91, 91, 72, 50, 84, 95, 72, 74, 71, 92]","[44, 63, 100, 87, 71, 69, 95, 100, 79, 69, 78, 96]","[49, 88, 5, 62, 17, 43, 22, 82, 70, 93, 80, 7]","[47, 78, 92, 96, 74, 57, 95, 79, 50, 49, 71, 94]","[37, 86, 98, 80, 73, 63, 96, 100, 60, 95, 54, 96]","[48, 72, 60, 83, 66, 62, 98, 85, 62, 96, 54, 92]","[45, 88, 92, 86, 56, 77, 88, 92, 70, 97, 42, 95]","[55, 78, 67, 91, 72, 70, 96, 93, 71, 96, 89, 91]","[46, 75, 95, 95, 62, 56, 81, 84, 71, 100, 92, 97]","[47, 81, 6, 3, 22, 14, 16, 0, 63, 4, 8, 7]"
Between Co-workers,"[90, 75, 59, 68, 63, 70, 55, 85, 41, 64, 58, 52]","[100, 100, 43, 66, 52, 100, 78, 91, 95, 64, 42, 60]","[88, 74, 27, 74, 28, 72, 54, 76, 9, 79, 41, 53]","[90, 54, 38, 60, 35, 73, 31, 73, 29, 27, 57, 48]","[50, 86, 56, 18, 37, 18, 79, 22, 44, 67, 81, 60]","[30, 64, 37, 55, 22, 73, 40, 68, 45, 34, 45, 53]","[86, 89, 66, 69, 40, 99, 87, 85, 38, 82, 72, 61]","[51, 61, 55, 44, 44, 64, 50, 77, 28, 51, 43, 64]","[83, 68, 66, 51, 28, 51, 84, 81, 44, 56, 41, 76]","[61, 80, 50, 46, 43, 22, 79, 17, 46, 91, 54, 68]","[75, 68, 53, 82, 29, 71, 81, 12, 48, 59, 56, 73]","[40, 12, 24, 54, 85, 63, 75, 15, 23, 21]","[18, 11, 53, 66, 81, 67, 43, 6, 18, 50]","[80, 79, 95, 73, 66, 88, 69, 6, 61, 77]","[75, 5, 89, 67, 52, 25, 22, 96, 64, 8]","[5, 14, 61, 62, 64, 21, 7, 94, 55, 10]","[18, 12, 86, 80, 56, 34, 79, 12, 50, 79]","[39, 7, 51, 55, 30, 54, 46, 11, 43, 7]","[4, 10, 10, 74, 10, 0, 4, 11, 34, 7]","[7, 23, 34, 65, 32, 10, 57, 80, 56, 49]","[82, 69, 100, 86, 79, 17, 76, 87, 38, 90]","[8, 19, 44, 7, 39, 0, 13, 11, 50, 8]","[61, 76, 59, 82, 85, 59, 74, 29, 70, 66, 66, 76, 54]","[80, 92, 77, 90, 67, 68, 68, 74, 70, 75, 59, 69, 56]","[79, 67, 71, 89, 53, 35, 62, 76, 90, 60, 72, 59, 29]","[78, 75, 40, 16, 66, 63, 85, 6, 80, 72, 75, 97, 70]","[83, 85, 69, 87, 79, 53, 75, 85, 90, 64, 76, 24, 48]","[26, 57, 20, 76, 67, 68, 77, 44, 50, 51, 73, 40, 65]","[95, 78, 80, 91, 77, 60, 79, 74, 90, 64, 77, 68, 57]","[80, 62, 76, 73, 78, 48, 88, 15, 100, 71, 61, 85, 50]","[79, 68, 76, 86, 66, 64, 66, 51, 75, 64, 71, 46, 43]","[73, 84, 64, 67, 57, 73, 82, 80, 85, 57, 69, 26, 67]","[4, 77, 11, 19, 5, 73, 15, 5, 60, 60, 72, 15, 62]"
Between Facebook Friends,"[87, 60, 67, 95, 72, 61, 69, 69, 63, 77, 44]","[85, 59, 90, 81, 74, 80, 100, 97, 53, 72, 42]","[8, 57, 83, 71, 61, 37, 60, 85, 50, 47, 36]","[52, 40, 92, 99, 66, 76, 77, 71, 51, 77, 36]","[9, 64, 17, 73, 34, 26, 1, 83, 58, 14, 22]","[12, 47, 50, 82, 57, 76, 70, 77, 52, 73, 20]","[10, 48, 56, 83, 61, 70, 68, 9, 54, 80, 18]","[84, 84, 57, 74, 71, 64, 100, 91, 57, 72, 28]","[45, 33, 23, 96, 51, 68, 60, 10, 59, 75, 41]","[7, 38, 0, 82, 36, 40, 1, 24, 60, 19, 48]","[18, 62, 7, 48, 37, 54, 8, 96, 60, 80, 22]","[45, 17, 79, 72, 93, 49, 61, 48, 1, 36]","[33, 64, 67, 82, 80, 71, 78, 26, 1, 33]","[52, 50, 32, 74, 72, 43, 75, 41, 2, 25]","[14, 6, 36, 61, 72, 63, 71, 8, 2, 10]","[2, 19, 56, 67, 68, 41, 58, 21, 63, 17]","[8, 7, 66, 63, 60, 65, 80, 15, 15, 30]","[49, 29, 63, 70, 69, 66, 73, 49, 5, 34]","[1, 18, 59, 48, 69, 52, 66, 1, 2, 13]","[12, 9, 54, 65, 54, 60, 40, 13, 63, 8]","[63, 21, 43, 77, 69, 69, 67, 41, 9, 27]","[1, 0, 49, 28, 85, 44, 12, 4, 1, 11]","[35, 81, 25, 64, 60, 9, 50, 80, 47, 91, 35]","[4, 20, 52, 61, 70, 67, 40, 88, 52, 82, 92]","[4, 75, 46, 70, 100, 80, 30, 56, 25, 76, 46]","[9, 14, 12, 11, 1, 9, 20, 85, 65, 79, 58]","[78, 88, 78, 80, 100, 89, 80, 69, 99, 80, 43]","[66, 94, 30, 61, 75, 89, 70, 73, 100, 76, 61]","[66, 87, 29, 68, 60, 90, 70, 69, 29, 76, 89]","[12, 83, 15, 78, 40, 5, 80, 75, 99, 75, 24]","[45, 96, 39, 57, 75, 8, 70, 72, 100, 89, 48]","[46, 93, 50, 71, 75, 82, 80, 70, 52, 87, 53]","[3, 5, 2, 16, 15, 5, 10, 76, 16, 82, 7]"
Between Siblings,"[74, 90, 90, 92, 100, 93, 80, 48, 65, 67]","[76, 100, 50, 90, 100, 100, 100, 32, 74, 76]","[49, 100, 80, 83, 100, 88, 90, 29, 56, 70]","[83, 100, 60, 86, 100, 93, 100, 45, 63, 75]","[85, 0, 85, 39, 4, 81, 7, 44, 57, 19]","[75, 65, 85, 86, 100, 100, 80, 28, 64, 75]","[38, 64, 70, 100, 100, 100, 100, 33, 66, 79]","[23, 70, 85, 88, 100, 9, 100, 45, 67, 76]","[85, 27, 20, 78, 0, 96, 15, 35, 65, 31]","[44, 20, 56, 17, 0, 3, 14, 39, 72, 28]","[78, 28, 50, 68, 100, 3, 52, 77, 66, 35]","[69, 96, 76, 36, 73, 100, 94, 75]","[92, 93, 65, 74, 94, 61, 88, 70]","[89, 77, 67, 100, 83, 96, 85, 75]","[6, 6, 73, 100, 20, 7, 13, 60]","[3, 1, 61, 19, 19, 6, 14, 32]","[0, 5, 56, 13, 49, 3, 70, 73]","[84, 85, 53, 25, 79, 70, 88, 82]","[0, 5, 65, 9, 11, 3, 22, 16]","[0, 94, 89, 18, 10, 3, 15, 17]","[62, 89, 81, 18, 85, 6, 57, 52]","[0, 5, 72, 20, 6, 4, 14, 18]","[72, 78, 100, 45, 86, 93, 99, 50, 72, 65]","[28, 77, 100, 46, 100, 85, 98, 93, 65, 73]","[29, 77, 63, 60, 86, 80, 72, 93, 67, 74]","[29, 14, 10, 4, 0, 16, 61, 8, 41, 50]","[37, 89, 100, 50, 86, 56, 90, 90, 84, 82]","[64, 74, 100, 84, 97, 100, 92, 100, 100, 84]","[48, 59, 100, 6, 87, 79, 76, 68, 51, 80]","[40, 34, 9, 50, 100, 85, 88, 62, 84, 74]","[60, 86, 100, 100, 100, 83, 98, 50, 78, 71]","[40, 80, 100, 66, 81, 80, 56, 84, 79, 74]","[11, 0, 6, 2, 0, 17, 98, 28, 24, 8]"
Between a monarch and their minister,"[59, 76, 32, 70, 50, 23, 48, 99, 60, 80, 62, 50]","[12, 23, 12, 0, 10, 28, 5, 0, 9, 68, 38, 7]","[21, 49, 12, 91, 20, 29, 41, 2, 78, 55, 55, 46]","[100, 34, 14, 10, 10, 28, 8, 7, 71, 65, 62, 4]","[38, 36, 79, 71, 96, 40, 99, 91, 74, 37, 63, 97]","[23, 61, 14, 60, 10, 30, 11, 48, 32, 68, 43, 3]","[96, 54, 81, 99, 50, 38, 98, 98, 92, 64, 66, 100]","[21, 42, 12, 95, 50, 52, 10, 41, 9, 72, 33, 56]","[67, 48, 13, 80, 80, 44, 95, 97, 12, 57, 62, 51]","[81, 60, 82, 80, 99, 37, 96, 70, 78, 50, 67, 50]","[84, 36, 13, 80, 100, 30, 96, 20, 88, 51, 70, 93]","[98, 11, 50, 24, 100, 54, 100, 66, 8, 74]","[0, 20, 5, 28, 2, 51, 0, 73, 8, 9]","[0, 100, 100, 56, 91, 44, 50, 68, 9, 86]","[82, 49, 100, 51, 3, 0, 0, 70, 4, 64]","[99, 32, 5, 51, 4, 82, 50, 66, 40, 62]","[100, 89, 100, 50, 3, 0, 100, 67, 50, 80]","[0, 20, 100, 70, 2, 0, 0, 68, 10, 69]","[0, 10, 5, 10, 2, 0, 0, 63, 6, 2]","[38, 13, 50, 50, 1, 32, 0, 71, 54, 28]","[0, 83, 100, 52, 6, 53, 0, 68, 75, 88]","[85, 30, 100, 40, 4, 0, 50, 67, 48, 9]","[85, 27, 50, 59, 49, 13, 95, 52, 85, 71, 96]","[81, 32, 66, 70, 47, 5, 89, 61, 81, 80, 14]","[80, 100, 95, 54, 56, 54, 100, 49, 65, 0, 19]","[79, 96, 98, 80, 81, 56, 100, 72, 53, 20, 77]","[60, 36, 100, 61, 41, 9, 100, 51, 55, 0, 81]","[70, 20, 100, 71, 69, 52, 97, 49, 90, 65, 23]","[75, 39, 100, 50, 33, 23, 96, 58, 62, 81, 17]","[79, 9, 39, 48, 55, 4, 100, 37, 10, 71, 20]","[66, 79, 79, 52, 70, 22, 100, 51, 76, 65, 12]","[70, 27, 76, 51, 71, 71, 83, 48, 91, 70, 22]","[61, 64, 66, 89, 57, 83, 100, 40, 5, 100, 53]"
Between a person and their crush,"[100, 65, 100, 100, 25, 100, 70, 15, 61, 93, 58]","[90, 20, 100, 51, 31, 100, 37, 12, 78, 93, 66]","[89, 20, 80, 77, 22, 86, 55, 17, 53, 89, 71]","[78, 90, 96, 90, 16, 67, 21, 86, 66, 63, 47]","[52, 1, 14, 29, 22, 0, 27, 22, 68, 27, 49]","[38, 20, 100, 66, 32, 0, 64, 14, 60, 30, 70]","[11, 1, 26, 6, 79, 0, 23, 12, 73, 75, 72]","[85, 95, 71, 75, 20, 38, 55, 82, 60, 94, 63]","[48, 1, 100, 11, 38, 0, 55, 15, 48, 13, 63]","[46, 2, 10, 16, 77, 0, 35, 11, 74, 25, 55]","[56, 10, 13, 14, 54, 14, 18, 86, 44, 19, 40]","[50, 83, 92, 72, 100, 78, 55, 44, 82, 69]","[50, 74, 71, 100, 98, 90, 66, 61, 82, 60]","[25, 75, 94, 77, 71, 28, 51, 39, 83, 60]","[1, 74, 63, 100, 8, 13, 65, 77, 19, 12]","[15, 52, 20, 76, 0, 10, 54, 60, 16, 12]","[1, 11, 77, 71, 100, 64, 54, 48, 19, 16]","[40, 21, 86, 93, 87, 60, 53, 64, 78, 51]","[1, 11, 81, 100, 100, 18, 63, 72, 51, 50]","[5, 79, 81, 6, 0, 15, 48, 66, 19, 6]","[40, 23, 51, 96, 95, 13, 55, 33, 14, 84]","[2, 67, 51, 7, 0, 18, 53, 31, 17, 9]","[0, 9, 41, 24, 1, 14, 16, 73, 44, 4, 14, 0, 8]","[4, 16, 31, 15, 83, 24, 81, 82, 72, 80, 93, 0, 66]","[35, 9, 19, 23, 0, 31, 18, 60, 42, 19, 91, 50, 4]","[0, 89, 11, 15, 0, 27, 10, 76, 43, 4, 3, 50, 6]","[5, 6, 58, 18, 20, 28, 5, 81, 33, 49, 100, 8, 45]","[28, 5, 17, 34, 15, 28, 50, 63, 61, 16, 48, 50, 27]","[53, 11, 11, 15, 17, 16, 25, 77, 55, 9, 63, 5, 17]","[0, 11, 20, 15, 26, 29, 37, 80, 27, 8, 97, 6, 57]","[83, 8, 72, 25, 100, 20, 47, 84, 7, 6, 87, 50, 100]","[2, 5, 36, 39, 29, 19, 66, 91, 68, 28, 83, 7, 15]","[6, 6, 35, 6, 0, 23, 5, 77, 26, 11, 89, 50, 8]"
