,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[60, 82, 66, 100, 50, 72, 86, 75]","[53, 0, 20, 19, 0, 33, 3, 20]","[16, 5, 12, 0, 8, 15, 100, 0]","[6, 91, 47, 52, 82, 95, 93, 21]","[100, 16, 61, 51, 11, 73, 100, 0]","[8, 6, 7, 0, 17, 20, 5, 9]","[19, 19, 84, 53, 74, 54, 100, 2]","[17, 7, 9, 0, 7, 52, 100, 32]","[11, 12, 10, 0, 16, 54, 100, 59]","[8, 24, 6, 26, 7, 22, 3, 29]","[6, 6, 12, 0, 2, 54, 56, 0]","[84, 100, 5, 0, 82, 98, 100, 75, 58, 79, 70]","[50, 4, 3, 0, 4, 43, 17, 27, 48, 40, 57]","[6, 1, 1, 0, 6, 64, 8, 4, 52, 39, 65]","[2, 0, 0, 0, 6, 73, 0, 0, 5, 2, 30]","[2, 0, 0, 2, 5, 33, 0, 1, 13, 2, 13]","[4, 0, 0, 0, 4, 53, 0, 1, 9, 3, 50]","[5, 2, 3, 26, 5, 45, 27, 4, 23, 7, 66]","[1, 5, 0, 0, 3, 4, 0, 2, 13, 2, 93]","[1, 0, 1, 15, 4, 49, 0, 3, 7, 12, 30]","[1, 0, 0, 6, 4, 28, 0, 3, 41, 2, 8]","[1, 0, 0, 4, 5, 44, 0, 2, 4, 2, 2]","[100, 30, 50, 100, 100, 75, 57, 82, 100, 69]","[91, 25, 65, 10, 67, 67, 95, 82, 100, 96]","[81, 50, 100, 80, 52, 8, 37, 92, 40, 42]","[5, 0, 7, 1, 43, 1, 80, 85, 5, 22]","[51, 0, 14, 1, 51, 2, 58, 41, 70, 31]","[100, 100, 20, 100, 100, 5, 87, 90, 70, 83]","[19, 0, 9, 0, 100, 0, 41, 69, 80, 67]","[51, 0, 0, 50, 75, 0, 57, 86, 100, 7]","[99, 100, 100, 100, 100, 97, 80, 100, 40, 98]","[67, 60, 54, 64, 85, 0, 86, 70, 100, 98]","[100, 100, 100, 100, 73, 0, 95, 100, 100, 98]"
Athlete and Referee,"[74, 92, 100, 41, 58, 3]","[78, 86, 50, 0, 19, 100]","[77, 72, 6, 0, 8, 100]","[75, 5, 4, 0, 33, 2]","[79, 3, 100, 100, 39, 98]","[79, 2, 2, 0, 0, 2]","[73, 91, 100, 100, 100, 100]","[81, 38, 77, 0, 6, 100]","[82, 67, 100, 0, 85, 1]","[80, 93, 100, 100, 43, 100]","[75, 12, 1, 100, 8, 100]","[85, 79, 100, 37, 5, 5, 39, 100, 32]","[39, 0, 7, 37, 3, 5, 57, 54, 1]","[76, 1, 7, 69, 31, 45, 53, 100, 8]","[9, 53, 7, 79, 31, 14, 75, 8, 1]","[2, 1, 6, 80, 9, 12, 81, 15, 1]","[67, 1, 40, 82, 23, 13, 40, 27, 54]","[21, 3, 25, 44, 14, 12, 32, 4, 1]","[2, 1, 6, 64, 1, 6, 1, 5, 1]","[15, 62, 5, 76, 74, 99, 59, 40, 26]","[19, 13, 33, 75, 7, 98, 76, 3, 8]","[15, 40, 24, 56, 15, 13, 37, 5, 1]","[51, 73, 75, 25, 6, 70, 52, 5, 74, 18, 33]","[28, 44, 98, 50, 2, 71, 37, 53, 38, 77, 10]","[57, 92, 74, 10, 1, 45, 7, 74, 78, 91, 56]","[100, 81, 71, 71, 27, 89, 84, 100, 75, 95, 80]","[100, 81, 95, 37, 0, 84, 100, 76, 80, 89, 42]","[8, 20, 63, 11, 18, 32, 50, 32, 6, 27, 9]","[35, 65, 98, 57, 13, 33, 73, 100, 100, 91, 100]","[55, 67, 89, 85, 42, 63, 86, 86, 100, 73, 100]","[100, 84, 82, 91, 42, 62, 87, 100, 100, 57, 52]","[80, 39, 72, 2, 35, 60, 65, 51, 91, 54, 29]","[41, 48, 76, 18, 11, 5, 80, 3, 73, 56, 21]"
Athletic trainer and Trainee,"[79, 78, 100, 95, 5, 52, 31, 100]","[85, 76, 99, 22, 5, 71, 21, 24]","[62, 79, 74, 87, 100, 41, 85, 40]","[81, 72, 88, 62, 3, 41, 77, 25]","[66, 72, 100, 82, 100, 20, 67, 89]","[65, 69, 100, 13, 68, 6, 66, 8]","[74, 75, 100, 68, 17, 45, 13, 88]","[69, 74, 100, 47, 50, 56, 28, 10]","[88, 69, 100, 66, 20, 46, 27, 29]","[77, 75, 80, 90, 94, 58, 81, 86]","[68, 70, 100, 12, 50, 53, 13, 58]","[86, 100, 68, 88, 80, 100, 47, 81, 87, 78]","[14, 14, 55, 39, 60, 70, 31, 11, 31, 33]","[96, 64, 66, 100, 85, 100, 17, 93, 90, 72]","[17, 1, 54, 100, 50, 20, 62, 80, 84, 100]","[3, 1, 57, 49, 50, 5, 11, 1, 4, 21]","[7, 18, 50, 100, 70, 100, 27, 95, 88, 61]","[74, 69, 66, 100, 70, 60, 38, 54, 58, 61]","[2, 1, 50, 7, 1, 1, 78, 0, 5, 12]","[68, 10, 66, 45, 14, 20, 41, 0, 44, 70]","[68, 16, 63, 53, 14, 65, 49, 5, 43, 64]","[24, 1, 83, 18, 7, 5, 81, 41, 1, 65]","[47, 63, 31, 0, 61, 57, 83, 80, 25, 60, 55, 60]","[45, 71, 61, 33, 50, 36, 69, 45, 90, 83, 53, 61]","[64, 100, 70, 90, 60, 17, 62, 66, 97, 92, 100, 72]","[42, 100, 78, 40, 55, 100, 89, 56, 100, 100, 100, 100]","[100, 100, 50, 81, 52, 3, 76, 94, 94, 79, 100, 63]","[50, 57, 57, 14, 53, 4, 73, 25, 24, 70, 36, 70]","[90, 79, 40, 70, 48, 1, 86, 95, 96, 81, 80, 77]","[72, 98, 94, 36, 48, 32, 55, 43, 68, 38, 100, 89]","[73, 100, 48, 61, 44, 91, 93, 72, 91, 90, 100, 53]","[50, 84, 90, 58, 52, 91, 79, 69, 81, 100, 100, 83]","[68, 78, 73, 62, 59, 47, 69, 83, 80, 15, 87, 17]"
Aunt and Niece/Nephew,"[45, 48, 90, 100, 16, 92, 71, 100, 94, 54, 100, 64]","[58, 36, 87, 65, 55, 90, 10, 100, 46, 60, 74, 0]","[61, 55, 18, 79, 56, 93, 42, 100, 89, 70, 100, 66]","[45, 52, 16, 100, 56, 93, 79, 100, 82, 43, 100, 100]","[27, 42, 26, 87, 41, 87, 57, 4, 28, 7, 3, 0]","[79, 41, 26, 65, 38, 82, 1, 90, 80, 62, 70, 17]","[11, 61, 60, 78, 54, 84, 49, 2, 81, 12, 99, 0]","[49, 61, 13, 82, 30, 86, 89, 100, 80, 48, 100, 77]","[66, 48, 27, 85, 56, 100, 59, 3, 81, 56, 100, 16]","[45, 33, 72, 70, 42, 85, 21, 2, 11, 8, 5, 24]","[23, 40, 76, 72, 30, 76, 5, 2, 70, 100, 99, 17]","[100, 95, 86, 53, 68, 76, 97, 9, 46, 98, 88, 90]","[100, 100, 79, 66, 80, 96, 100, 100, 93, 100, 78, 90]","[50, 100, 52, 60, 68, 72, 72, 3, 88, 100, 49, 90]","[4, 75, 14, 98, 2, 11, 0, 11, 8, 100, 26, 1]","[49, 75, 20, 76, 5, 23, 16, 1, 9, 100, 50, 2]","[9, 90, 0, 66, 3, 95, 22, 4, 19, 100, 11, 3]","[97, 100, 83, 84, 63, 99, 100, 100, 95, 100, 74, 100]","[0, 0, 26, 3, 25, 1, 100, 3, 20, 1, 3, 3]","[7, 0, 0, 28, 2, 2, 47, 3, 6, 1, 47, 2]","[7, 20, 100, 7, 1, 93, 63, 3, 6, 7, 49, 82]","[6, 5, 2, 16, 2, 2, 37, 4, 4, 2, 6, 100]","[57, 5, 89, 77, 18, 100, 57, 59, 6, 72, 77, 61, 100, 100]","[58, 87, 96, 87, 63, 100, 41, 85, 10, 83, 73, 100, 100, 100]","[53, 95, 50, 25, 65, 64, 26, 71, 8, 77, 64, 29, 100, 100]","[53, 1, 44, 29, 6, 58, 33, 0, 7, 83, 20, 11, 1, 59]","[54, 94, 24, 50, 100, 100, 58, 78, 83, 98, 62, 74, 100, 22]","[57, 100, 95, 83, 100, 100, 78, 86, 93, 92, 92, 100, 100, 100]","[52, 3, 92, 69, 26, 19, 77, 71, 15, 96, 61, 86, 0, 4]","[5, 14, 49, 27, 59, 8, 51, 31, 100, 90, 90, 100, 100, 4]","[54, 100, 98, 27, 100, 11, 57, 100, 100, 85, 81, 77, 100, 30]","[64, 100, 96, 76, 100, 100, 70, 82, 51, 99, 89, 67, 100, 100]","[9, 70, 74, 68, 77, 42, 83, 73, 46, 39, 8, 62, 100, 100]"
Babysitter and Infant,"[71, 73, 25, 91, 100, 100]","[74, 53, 6, 0, 0, 4]","[75, 14, 74, 82, 100, 2]","[71, 2, 6, 0, 100, 100]","[82, 50, 100, 0, 0, 2]","[83, 0, 54, 83, 81, 2]","[72, 1, 1, 0, 31, 99]","[70, 86, 2, 0, 18, 100]","[74, 80, 34, 0, 86, 2]","[71, 100, 87, 71, 8, 1]","[75, 2, 2, 100, 29, 100]","[90, 64, 100, 69, 100, 99, 67, 98, 39]","[91, 40, 50, 64, 50, 97, 59, 100, 55]","[80, 12, 51, 67, 2, 97, 50, 100, 47]","[39, 50, 88, 62, 90, 98, 2, 4, 1]","[2, 47, 21, 88, 6, 6, 18, 3, 1]","[88, 100, 100, 53, 100, 99, 28, 5, 89]","[72, 7, 24, 71, 57, 97, 49, 100, 40]","[1, 3, 5, 82, 0, 2, 3, 100, 1]","[1, 12, 5, 80, 52, 5, 11, 3, 1]","[49, 9, 19, 80, 16, 6, 44, 48, 1]","[50, 15, 3, 84, 6, 6, 42, 4, 1]","[71, 97, 97, 62, 32, 100, 32, 30, 91, 98, 54]","[82, 78, 96, 94, 45, 100, 63, 100, 78, 94, 82]","[51, 84, 39, 60, 42, 44, 2, 6, 13, 92, 58]","[100, 91, 40, 76, 70, 58, 71, 100, 84, 94, 79]","[97, 73, 96, 96, 43, 51, 100, 100, 14, 93, 12]","[54, 51, 95, 20, 44, 22, 8, 60, 27, 71, 68]","[42, 47, 97, 100, 10, 92, 64, 16, 100, 99, 55]","[100, 83, 95, 95, 43, 82, 91, 100, 100, 98, 100]","[74, 99, 96, 97, 100, 100, 87, 100, 100, 98, 90]","[99, 90, 96, 100, 97, 81, 53, 100, 100, 96, 83]","[84, 90, 94, 86, 48, 72, 99, 100, 100, 49, 85]"
Between Business Partners,"[78, 55, 100, 88, 76, 53, 73, 97, 97]","[78, 42, 99, 99, 58, 100, 66, 95, 100]","[76, 51, 37, 88, 95, 100, 76, 91, 100]","[100, 94, 53, 6, 37, 6, 81, 64, 21]","[53, 66, 100, 100, 40, 7, 75, 26, 60]","[95, 83, 100, 0, 1, 72, 72, 3, 7]","[72, 86, 63, 100, 6, 66, 72, 61, 3]","[58, 59, 68, 1, 10, 71, 77, 88, 100]","[79, 76, 82, 96, 2, 100, 66, 94, 100]","[82, 84, 99, 95, 85, 100, 77, 14, 100]","[92, 84, 84, 96, 39, 100, 75, 7, 51]","[32, 32, 100, 79, 100, 84, 94, 100, 84, 97, 80, 62, 48, 17, 94, 6]","[74, 37, 14, 11, 0, 1, 47, 0, 16, 1, 57, 6, 5, 85, 66, 6]","[84, 84, 73, 76, 98, 100, 93, 100, 73, 33, 47, 49, 58, 74, 79, 82]","[49, 69, 75, 78, 100, 100, 91, 100, 88, 100, 57, 83, 100, 43, 100, 98]","[73, 55, 2, 78, 98, 31, 34, 0, 56, 48, 90, 38, 43, 8, 20, 6]","[88, 51, 6, 22, 0, 98, 37, 25, 22, 93, 69, 28, 33, 45, 50, 28]","[65, 56, 44, 34, 56, 89, 68, 30, 55, 3, 87, 17, 18, 62, 92, 5]","[80, 46, 1, 3, 0, 1, 0, 0, 0, 1, 4, 6, 52, 49, 6, 6]","[73, 51, 19, 35, 49, 12, 4, 25, 26, 5, 4, 11, 83, 33, 15, 31]","[45, 67, 44, 67, 78, 83, 69, 50, 85, 17, 23, 91, 48, 43, 60, 22]","[68, 49, 51, 9, 18, 21, 3, 0, 73, 1, 14, 5, 61, 42, 15, 12]","[16, 87, 55, 70, 45, 51, 56, 100, 81, 79]","[58, 99, 75, 100, 41, 100, 57, 96, 83, 89]","[67, 71, 87, 100, 72, 100, 81, 100, 100, 73]","[45, 79, 89, 84, 100, 100, 100, 100, 9, 90]","[65, 91, 88, 100, 72, 100, 63, 100, 100, 51]","[89, 100, 79, 100, 54, 100, 71, 100, 100, 82]","[92, 100, 86, 100, 19, 100, 100, 100, 100, 97]","[77, 86, 70, 49, 61, 53, 42, 50, 71, 46]","[64, 100, 72, 76, 70, 100, 88, 70, 76, 87]","[85, 92, 85, 97, 70, 100, 87, 83, 79, 86]","[20, 61, 50, 7, 50, 18, 41, 54, 14, 47]"
Between Close Friends,"[91, 54, 14, 82, 100, 35, 50]","[98, 63, 100, 96, 50, 100, 100]","[95, 68, 96, 58, 36, 32, 70]","[100, 87, 100, 75, 15, 39, 49]","[98, 59, 2, 30, 90, 31, 14]","[97, 57, 97, 54, 91, 80, 83]","[78, 66, 56, 86, 40, 72, 20]","[89, 62, 100, 80, 36, 78, 91]","[96, 74, 98, 86, 28, 65, 25]","[100, 58, 7, 22, 26, 29, 15]","[96, 66, 20, 11, 56, 39, 49]","[33, 82, 92, 95, 72, 1, 1, 96, 75, 100]","[98, 87, 84, 80, 100, 98, 100, 82, 90, 69]","[35, 65, 94, 90, 85, 99, 85, 47, 65, 85]","[11, 1, 19, 50, 31, 61, 50, 10, 5, 24]","[9, 5, 16, 25, 9, 6, 80, 8, 10, 83]","[22, 2, 4, 9, 23, 5, 20, 4, 30, 60]","[100, 87, 92, 91, 96, 99, 97, 13, 95, 87]","[4, 3, 13, 0, 31, 3, 1, 4, 0, 6]","[24, 6, 17, 0, 6, 16, 1, 4, 12, 1]","[22, 66, 50, 13, 75, 81, 1, 9, 30, 6]","[7, 3, 12, 0, 13, 12, 1, 3, 5, 1]","[88, 46, 85, 91, 77, 21, 70, 90, 100, 100]","[77, 71, 72, 99, 100, 27, 92, 76, 100, 100]","[75, 90, 69, 80, 81, 83, 92, 85, 95, 100]","[26, 16, 25, 0, 10, 42, 15, 36, 2, 0]","[75, 57, 24, 6, 71, 29, 56, 79, 100, 100]","[82, 83, 93, 91, 94, 79, 96, 92, 94, 89]","[86, 78, 100, 84, 100, 31, 85, 91, 83, 77]","[87, 81, 100, 98, 80, 71, 95, 80, 96, 42]","[82, 80, 100, 91, 100, 90, 85, 92, 95, 100]","[96, 76, 100, 99, 100, 89, 94, 94, 87, 100]","[8, 4, 9, 6, 7, 5, 7, 18, 1, 13]"
Between Co-workers,"[89, 34, 50, 81, 90]","[85, 37, 90, 95, 84]","[93, 46, 85, 83, 11]","[86, 1, 23, 62, 1]","[86, 100, 67, 86, 93]","[92, 1, 34, 7, 22]","[93, 100, 89, 82, 100]","[93, 32, 74, 73, 100]","[89, 100, 64, 98, 100]","[88, 100, 65, 91, 19]","[92, 100, 35, 93, 100]","[14, 67, 65, 50, 50, 50, 66, 17, 81, 15]","[5, 52, 20, 60, 38, 9, 33, 30, 47, 6]","[98, 79, 100, 80, 92, 100, 88, 92, 81, 100]","[11, 52, 1, 10, 26, 3, 35, 15, 79, 6]","[5, 58, 1, 40, 0, 23, 40, 24, 62, 5]","[50, 36, 1, 20, 47, 5, 36, 84, 100, 93]","[72, 15, 10, 50, 62, 60, 31, 35, 72, 9]","[2, 50, 1, 10, 6, 1, 74, 4, 63, 1]","[42, 79, 2, 40, 45, 20, 67, 43, 53, 5]","[63, 56, 1, 36, 65, 4, 73, 36, 100, 12]","[6, 18, 1, 44, 0, 4, 60, 12, 28, 5]","[77, 96, 58, 97, 78, 100, 90, 88]","[10, 98, 91, 75, 64, 100, 94, 100]","[11, 94, 43, 100, 27, 100, 93, 84]","[19, 98, 92, 100, 74, 100, 96, 100]","[20, 96, 51, 53, 35, 100, 90, 39]","[21, 98, 89, 73, 66, 55, 14, 63]","[26, 97, 91, 100, 47, 100, 47, 100]","[29, 98, 47, 95, 48, 100, 76, 76]","[76, 98, 25, 87, 78, 100, 57, 100]","[61, 81, 75, 53, 73, 72, 33, 27]","[50, 74, 53, 31, 71, 61, 3, 61]"
Between Facebook Friends,"[74, 40, 64, 73, 97, 9, 75, 64, 50]","[71, 62, 56, 68, 96, 8, 90, 68, 79]","[75, 66, 67, 75, 93, 5, 50, 39, 31]","[69, 96, 87, 92, 97, 9, 65, 43, 100]","[73, 84, 87, 85, 98, 9, 20, 24, 40]","[72, 73, 92, 92, 96, 20, 50, 17, 1]","[74, 85, 56, 88, 95, 12, 52, 89, 100]","[73, 55, 77, 92, 96, 6, 50, 46, 64]","[76, 38, 83, 79, 97, 6, 70, 54, 62]","[72, 27, 48, 85, 99, 6, 25, 75, 52]","[78, 20, 87, 95, 97, 6, 29, 44, 32]","[23, 18, 75, 4, 36, 10, 92, 71, 91, 37]","[64, 41, 40, 53, 78, 24, 42, 43, 52, 51]","[83, 43, 75, 14, 67, 18, 91, 45, 68, 56]","[10, 97, 5, 3, 7, 4, 9, 3, 33, 2]","[14, 39, 5, 26, 61, 8, 4, 25, 19, 2]","[7, 7, 5, 50, 43, 8, 2, 14, 22, 3]","[66, 56, 45, 88, 44, 48, 17, 36, 75, 40]","[61, 18, 1, 16, 14, 8, 1, 6, 8, 2]","[7, 25, 10, 36, 26, 12, 55, 59, 13, 3]","[26, 18, 5, 64, 42, 13, 1, 9, 10, 26]","[9, 22, 1, 26, 35, 8, 1, 8, 15, 4]","[77, 10, 18, 51, 43, 31]","[89, 45, 70, 43, 79, 35]","[89, 71, 90, 36, 64, 30]","[5, 4, 63, 81, 17, 31]","[62, 25, 4, 29, 42, 27]","[85, 25, 68, 6, 69, 52]","[84, 39, 68, 27, 50, 64]","[8, 2, 16, 37, 38, 18]","[93, 82, 85, 37, 87, 55]","[81, 55, 67, 42, 69, 48]","[28, 33, 63, 34, 36, 44]"
Between Siblings,"[68, 45, 67, 99, 83, 100]","[83, 38, 42, 54, 77, 35]","[79, 32, 45, 55, 54, 30]","[69, 50, 65, 68, 61, 90]","[67, 31, 68, 99, 24, 3]","[82, 35, 49, 79, 44, 40]","[78, 41, 53, 54, 76, 65]","[49, 38, 36, 65, 46, 30]","[62, 46, 51, 99, 32, 30]","[73, 28, 59, 5, 99, 31]","[67, 16, 47, 98, 65, 100]","[30, 100, 75, 76, 90, 3, 54, 100, 94, 100]","[72, 100, 94, 98, 87, 100, 50, 100, 78, 85]","[74, 80, 58, 100, 83, 50, 34, 16, 58, 50]","[1, 0, 0, 10, 51, 20, 50, 12, 7, 1]","[5, 0, 6, 35, 55, 3, 47, 100, 16, 50]","[2, 0, 6, 13, 45, 2, 26, 7, 16, 5]","[86, 100, 48, 100, 81, 100, 69, 85, 71, 100]","[2, 0, 19, 0, 0, 3, 5, 2, 2, 100]","[15, 20, 48, 49, 76, 55, 81, 100, 20, 29]","[7, 20, 20, 12, 65, 45, 22, 74, 42, 100]","[2, 5, 49, 0, 40, 3, 46, 86, 5, 10]","[96, 70, 30, 58, 100, 40, 68, 66, 100, 64, 100, 87, 82, 100]","[94, 100, 74, 99, 100, 100, 83, 83, 100, 100, 100, 77, 99, 100]","[36, 20, 75, 55, 100, 100, 56, 58, 74, 89, 100, 37, 69, 52]","[27, 13, 3, 32, 4, 100, 57, 12, 0, 40, 0, 5, 44, 51]","[87, 30, 75, 44, 100, 100, 56, 72, 53, 87, 100, 43, 72, 49]","[92, 60, 100, 100, 100, 100, 60, 91, 100, 100, 0, 100, 79, 100]","[78, 20, 48, 100, 100, 95, 49, 60, 57, 92, 100, 100, 75, 53]","[80, 20, 49, 92, 100, 100, 63, 100, 59, 95, 100, 27, 58, 26]","[87, 83, 100, 99, 100, 100, 45, 100, 100, 100, 100, 100, 97, 100]","[91, 49, 87, 94, 100, 73, 52, 100, 100, 94, 45, 59, 31, 56]","[57, 27, 6, 20, 1, 48, 36, 26, 42, 8, 100, 17, 48, 18]"
Between a monarch and their minister,"[63, 50, 51, 50, 70, 100]","[74, 13, 58, 35, 19, 100]","[64, 10, 51, 20, 24, 53]","[79, 3, 49, 5, 10, 9]","[69, 100, 80, 95, 100, 100]","[64, 1, 67, 1, 1, 8]","[61, 2, 80, 100, 100, 10]","[55, 3, 48, 5, 13, 14]","[72, 4, 52, 10, 3, 9]","[62, 100, 51, 90, 100, 9]","[78, 67, 66, 94, 71, 49]","[50, 99, 19, 65, 60, 75, 3, 0, 79, 6, 100]","[8, 11, 5, 5, 0, 6, 2, 0, 7, 2, 34]","[26, 53, 37, 69, 40, 67, 77, 98, 93, 58, 75]","[11, 80, 14, 86, 0, 36, 20, 0, 61, 100, 78]","[5, 53, 5, 45, 20, 49, 5, 0, 12, 7, 42]","[11, 29, 10, 87, 80, 6, 5, 69, 34, 83, 3]","[6, 21, 15, 6, 0, 17, 8, 7, 6, 3, 50]","[5, 2, 0, 4, 0, 7, 5, 0, 5, 1, 6]","[8, 41, 23, 73, 0, 50, 36, 19, 96, 30, 51]","[7, 89, 22, 66, 55, 54, 35, 0, 84, 100, 49]","[11, 7, 0, 77, 42, 10, 55, 41, 8, 82, 37]","[33, 81, 97, 36, 90, 100, 100, 100, 89, 62, 25]","[17, 35, 67, 27, 50, 82, 100, 83, 75, 71, 83]","[56, 51, 88, 88, 100, 74, 99, 82, 100, 78, 75]","[17, 100, 98, 96, 100, 100, 100, 91, 99, 92, 53]","[31, 54, 99, 66, 50, 100, 2, 72, 29, 44, 98]","[57, 31, 60, 11, 54, 53, 50, 75, 37, 61, 46]","[3, 100, 81, 100, 51, 5, 55, 82, 98, 69, 75]","[12, 3, 91, 100, 7, 7, 85, 79, 3, 52, 68]","[27, 100, 98, 52, 51, 57, 80, 74, 99, 70, 28]","[47, 66, 87, 81, 54, 50, 40, 82, 50, 53, 67]","[86, 33, 31, 54, 17, 7, 1, 95, 86, 58, 12]"
Between a person and their crush,"[47, 58, 31, 100, 47, 75, 87, 45]","[72, 52, 100, 50, 74, 60, 76, 41]","[84, 44, 26, 80, 74, 40, 55, 72]","[81, 84, 100, 86, 83, 68, 65, 54]","[68, 45, 15, 30, 43, 64, 23, 13]","[73, 56, 17, 100, 39, 44, 46, 49]","[60, 12, 4, 45, 10, 40, 45, 6]","[58, 68, 91, 70, 27, 29, 64, 55]","[64, 70, 10, 73, 25, 46, 34, 44]","[76, 25, 17, 72, 87, 69, 36, 14]","[58, 38, 9, 76, 63, 55, 53, 36]","[34, 18, 20, 44, 84, 79, 100, 47, 99, 100, 66, 91, 30, 52, 75, 68, 14]","[32, 28, 14, 62, 100, 85, 78, 60, 99, 97, 83, 100, 60, 39, 87, 48, 75]","[39, 8, 16, 65, 78, 84, 53, 23, 32, 46, 69, 91, 10, 27, 58, 55, 81]","[2, 7, 0, 34, 6, 8, 32, 28, 3, 7, 66, 15, 1, 7, 36, 54, 23]","[40, 11, 0, 17, 7, 29, 25, 31, 2, 9, 54, 88, 1, 2, 22, 54, 57]","[15, 33, 0, 60, 7, 26, 46, 38, 16, 7, 65, 71, 1, 5, 18, 63, 32]","[46, 26, 0, 60, 60, 87, 26, 42, 98, 100, 76, 89, 20, 65, 6, 50, 82]","[24, 22, 0, 46, 15, 70, 17, 55, 100, 12, 57, 63, 35, 20, 1, 27, 75]","[3, 14, 0, 16, 11, 28, 8, 63, 4, 7, 83, 13, 0, 28, 38, 37, 27]","[5, 7, 0, 14, 66, 14, 7, 59, 64, 40, 37, 24, 5, 32, 29, 43, 64]","[4, 17, 0, 15, 5, 48, 12, 68, 92, 9, 40, 5, 0, 31, 22, 39, 25]","[11, 3, 30, 1, 26, 16, 1, 44, 62, 17, 11, 32, 25, 55]","[86, 42, 93, 9, 34, 72, 95, 52, 70, 72, 92, 94, 50, 60]","[21, 6, 19, 11, 26, 20, 97, 37, 77, 59, 29, 18, 20, 51]","[1, 1, 8, 5, 16, 21, 2, 33, 86, 16, 19, 6, 20, 1]","[13, 2, 8, 8, 6, 18, 88, 35, 82, 92, 21, 6, 50, 18]","[14, 2, 9, 5, 11, 8, 43, 25, 75, 46, 22, 6, 50, 51]","[72, 6, 24, 8, 10, 9, 6, 18, 98, 52, 39, 6, 25, 1]","[41, 8, 65, 8, 13, 7, 54, 17, 84, 62, 35, 6, 30, 49]","[75, 8, 65, 5, 7, 47, 94, 39, 96, 49, 83, 82, 80, 57]","[51, 25, 45, 5, 4, 26, 73, 18, 100, 72, 41, 12, 50, 48]","[18, 37, 45, 39, 3, 21, 2, 40, 88, 62, 47, 35, 50, 26]"
Between a person and their deceased spouse,"[47, 61, 98, 77, 55, 100, 0]","[35, 50, 97, 47, 46, 1, 0]","[29, 46, 97, 72, 59, 2, 0]","[37, 61, 96, 63, 47, 3, 30]","[15, 62, 83, 63, 54, 1, 0]","[37, 42, 81, 80, 38, 1, 2]","[29, 49, 88, 77, 36, 1, 2]","[28, 63, 92, 49, 34, 1, 0]","[34, 57, 92, 76, 50, 1, 0]","[36, 77, 95, 64, 59, 1, 0]","[22, 53, 95, 70, 48, 1, 0]","[91, 98, 85, 99, 74, 80, 63]","[100, 98, 9, 100, 87, 88, 84]","[100, 8, 84, 5, 23, 43, 47]","[0, 10, 39, 1, 5, 11, 97]","[0, 11, 24, 0, 4, 14, 100]","[6, 1, 14, 0, 5, 12, 98]","[100, 100, 80, 99, 93, 100, 78]","[100, 92, 78, 3, 99, 92, 42]","[5, 13, 34, 1, 36, 11, 71]","[43, 7, 15, 1, 15, 26, 60]","[8, 1, 6, 1, 9, 7, 96]","[11, 45, 1, 51, 66, 40, 7, 58, 45, 12]","[100, 92, 5, 100, 100, 91, 99, 100, 81, 90]","[95, 55, 1, 16, 69, 91, 74, 54, 92, 74]","[0, 11, 1, 5, 0, 1, 5, 22, 0, 3]","[94, 8, 56, 5, 42, 0, 96, 56, 7, 13]","[100, 86, 100, 28, 100, 99, 98, 96, 95, 75]","[0, 3, 1, 81, 100, 93, 85, 55, 11, 27]","[2, 1, 1, 17, 100, 0, 12, 75, 7, 2]","[100, 26, 1, 100, 100, 98, 97, 81, 100, 100]","[85, 3, 2, 100, 100, 59, 83, 75, 83, 88]","[4, 7, 100, 19, 0, 99, 17, 3, 3, 0]"
