,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Ancestor and Descendant,"[40, 54, 100, 68, 75, 100, 100, 3, 77, 100, 80]","[56, 20, 0, 0, 4, 1, 1, 2, 17, 0, 0]","[12, 10, 53, 34, 99, 55, 100, 100, 31, 90, 40]","[50, 25, 65, 71, 99, 100, 72, 66, 37, 90, 50]","[38, 90, 58, 70, 2, 1, 2, 62, 73, 25, 70]","[41, 1, 68, 66, 96, 48, 100, 63, 26, 85, 10]","[47, 100, 69, 7, 99, 100, 2, 54, 93, 35, 50]","[8, 50, 83, 81, 100, 100, 100, 43, 45, 70, 50]","[81, 90, 88, 11, 4, 100, 100, 70, 44, 30, 29]","[43, 5, 6, 10, 3, 23, 1, 41, 67, 5, 71]","[45, 5, 12, 0, 6, 9, 100, 44, 7, 80, 50]","[100, 83, 86, 92, 15, 100]","[26, 89, 45, 75, 50, 100]","[5, 91, 29, 69, 42, 100]","[5, 13, 3, 39, 47, 0]","[2, 0, 1, 9, 22, 0]","[4, 0, 0, 6, 59, 0]","[7, 94, 54, 70, 64, 100]","[100, 100, 55, 0, 51, 100]","[1, 12, 3, 18, 54, 62]","[1, 0, 0, 7, 38, 0]","[2, 1, 0, 0, 50, 0]","[40, 100, 50, 67, 37, 98, 89, 65, 20, 100]","[25, 100, 50, 77, 74, 100, 100, 83, 8, 100]","[50, 100, 0, 63, 35, 100, 100, 100, 50, 100]","[1, 0, 0, 8, 26, 2, 13, 1, 1, 5]","[25, 70, 0, 50, 70, 85, 82, 52, 37, 100]","[100, 100, 0, 34, 47, 100, 80, 100, 100, 100]","[20, 25, 0, 6, 17, 50, 85, 100, 3, 42]","[15, 0, 0, 31, 70, 100, 75, 90, 30, 55]","[1, 0, 50, 14, 23, 2, 14, 1, 1, 2]","[50, 85, 0, 92, 78, 80, 90, 75, 55, 88]","[90, 100, 100, 99, 83, 50, 92, 77, 94, 100]"
Athlete and Referee,"[78, 0, 61, 10, 8, 51, 10, 34, 63, 91, 71]","[65, 0, 0, 30, 4, 20, 0, 1, 30, 68, 19]","[52, 100, 32, 40, 7, 18, 0, 66, 65, 50, 4]","[41, 0, 30, 33, 5, 0, 0, 8, 14, 8, 59]","[78, 0, 69, 70, 92, 93, 100, 58, 63, 71, 87]","[8, 100, 3, 10, 2, 0, 0, 2, 5, 13, 10]","[100, 100, 69, 90, 91, 100, 79, 100, 78, 61, 97]","[11, 100, 0, 5, 49, 93, 0, 30, 41, 61, 18]","[20, 100, 29, 15, 6, 17, 0, 1, 48, 57, 12]","[69, 0, 100, 90, 23, 53, 0, 100, 86, 27, 78]","[61, 0, 47, 95, 45, 20, 100, 5, 69, 5, 11]","[34, 66, 40, 65, 10, 48]","[4, 2, 0, 10, 10, 40]","[81, 27, 4, 30, 10, 25]","[0, 1, 50, 20, 10, 5]","[1, 1, 15, 0, 10, 3]","[24, 4, 67, 71, 10, 100]","[0, 4, 2, 0, 10, 25]","[0, 1, 0, 0, 1, 2]","[76, 75, 78, 40, 70, 45]","[4, 7, 38, 25, 50, 15]","[75, 8, 57, 0, 90, 17]","[18, 66, 30, 100, 3, 76, 33, 56, 50, 45, 40]","[14, 19, 100, 100, 3, 57, 30, 51, 75, 31, 60]","[23, 51, 0, 100, 61, 54, 10, 52, 56, 25, 31]","[15, 98, 100, 100, 34, 100, 50, 99, 69, 100, 89]","[9, 24, 100, 100, 31, 45, 21, 96, 50, 85, 39]","[10, 4, 70, 7, 18, 17, 14, 52, 37, 23, 20]","[20, 99, 100, 100, 100, 91, 49, 47, 45, 55, 25]","[74, 100, 100, 7, 75, 48, 43, 50, 6, 77, 17]","[58, 100, 0, 100, 17, 3, 15, 5, 13, 17, 6]","[20, 55, 70, 7, 22, 100, 8, 62, 50, 56, 44]","[38, 51, 70, 100, 50, 43, 19, 15, 75, 0, 35]"
Athletic trainer and Trainee,"[100, 6, 100, 70, 50, 50, 6, 77, 62, 28, 100, 84, 33, 71]","[71, 9, 6, 5, 20, 27, 51, 21, 45, 50, 73, 20, 4, 1]","[100, 36, 52, 30, 40, 63, 36, 55, 28, 39, 50, 83, 16, 20]","[90, 20, 50, 30, 20, 58, 59, 20, 57, 45, 7, 3, 18, 3]","[24, 87, 98, 90, 50, 53, 21, 86, 86, 46, 100, 11, 63, 85]","[25, 17, 28, 1, 5, 4, 11, 25, 7, 59, 2, 41, 50, 3]","[90, 96, 100, 80, 90, 56, 61, 42, 74, 47, 100, 50, 71, 4]","[59, 17, 14, 20, 50, 32, 14, 24, 43, 69, 3, 20, 50, 3]","[57, 24, 10, 10, 60, 53, 34, 37, 31, 36, 5, 69, 45, 5]","[65, 86, 100, 95, 80, 93, 79, 0, 57, 38, 100, 37, 69, 5]","[15, 48, 86, 1, 85, 76, 13, 100, 33, 42, 100, 84, 85, 75]","[51, 24, 50, 53, 85, 4, 71, 40, 0, 16]","[0, 50, 3, 0, 1, 15, 33, 44, 0, 25]","[100, 59, 100, 60, 90, 68, 100, 77, 100, 81]","[0, 70, 1, 0, 60, 58, 40, 55, 50, 70]","[0, 60, 2, 34, 1, 55, 29, 50, 50, 13]","[10, 80, 62, 69, 80, 82, 78, 85, 28, 60]","[30, 50, 1, 25, 20, 42, 75, 5, 0, 12]","[0, 1, 50, 17, 1, 2, 2, 7, 0, 0]","[10, 20, 64, 30, 5, 3, 45, 19, 0, 12]","[23, 30, 81, 65, 20, 6, 31, 88, 50, 58]","[0, 1, 2, 47, 60, 6, 35, 6, 0, 0]","[88, 40, 25, 2, 50, 90, 59, 100]","[87, 81, 20, 63, 35, 95, 78, 100]","[81, 91, 76, 48, 100, 95, 63, 68]","[100, 100, 30, 85, 100, 95, 73, 100]","[48, 100, 100, 12, 20, 100, 77, 100]","[72, 63, 60, 19, 30, 50, 64, 60]","[90, 84, 80, 63, 100, 100, 87, 100]","[90, 92, 75, 23, 75, 100, 82, 100]","[100, 14, 5, 24, 0, 1, 9, 100]","[100, 93, 66, 12, 30, 100, 86, 100]","[17, 81, 76, 84, 70, 84, 76, 100]"
Aunt and Niece/Nephew,"[80, 90, 46, 94, 81, 74, 92]","[100, 20, 38, 40, 9, 40, 94]","[70, 90, 35, 90, 86, 94, 97]","[75, 94, 83, 89, 83, 91, 95]","[15, 15, 14, 10, 9, 8, 4]","[75, 70, 83, 84, 87, 74, 100]","[100, 10, 100, 22, 90, 3, 1]","[75, 81, 35, 96, 83, 86, 100]","[25, 40, 100, 64, 5, 100, 93]","[10, 15, 33, 9, 17, 5, 4]","[10, 10, 47, 17, 7, 1, 55]","[35, 84, 50, 86, 85, 75, 100, 80, 100]","[90, 100, 73, 83, 94, 75, 100, 79, 100]","[52, 100, 73, 50, 73, 75, 86, 62, 100]","[5, 12, 62, 54, 60, 1, 3, 63, 100]","[12, 37, 66, 4, 29, 1, 5, 45, 0]","[0, 36, 64, 42, 8, 100, 50, 24, 100]","[90, 100, 67, 45, 94, 100, 100, 63, 100]","[0, 2, 6, 19, 6, 1, 5, 3, 0]","[0, 13, 6, 1, 4, 1, 1, 6, 100]","[0, 14, 12, 11, 6, 1, 3, 3, 100]","[0, 11, 7, 14, 5, 1, 80, 3, 11]","[88, 100, 24, 100, 52, 100, 59, 100, 30]","[100, 61, 81, 100, 79, 75, 57, 100, 90]","[100, 27, 80, 100, 100, 100, 37, 100, 60]","[0, 26, 2, 1, 1, 25, 5, 0, 0]","[100, 75, 54, 100, 84, 40, 25, 100, 80]","[100, 72, 100, 100, 100, 100, 33, 100, 100]","[92, 70, 49, 69, 40, 55, 10, 100, 20]","[88, 17, 50, 92, 100, 44, 49, 100, 10]","[0, 83, 1, 78, 1, 6, 17, 0, 0]","[100, 100, 85, 100, 100, 100, 86, 100, 100]","[100, 99, 53, 4, 86, 100, 65, 100, 70]"
Babysitter and Infant,"[100, 100, 35, 90, 71, 100, 100, 100, 76, 61, 100]","[7, 0, 0, 5, 3, 0, 0, 1, 54, 72, 33]","[95, 0, 84, 80, 81, 49, 100, 99, 52, 60, 100]","[61, 0, 84, 61, 62, 41, 0, 100, 43, 6, 70]","[2, 0, 0, 10, 15, 22, 20, 1, 9, 58, 25]","[95, 0, 76, 20, 27, 75, 20, 100, 66, 5, 87]","[100, 0, 84, 5, 23, 29, 75, 15, 48, 24, 49]","[69, 0, 30, 5, 8, 80, 100, 4, 61, 60, 97]","[1, 0, 0, 5, 9, 100, 0, 2, 69, 6, 71]","[3, 100, 0, 5, 4, 71, 0, 1, 70, 95, 5]","[10, 0, 100, 94, 80, 7, 68, 2, 12, 4, 73]","[65, 100, 30, 0, 90, 19]","[70, 91, 91, 90, 100, 81]","[80, 97, 50, 100, 10, 7]","[50, 57, 30, 100, 90, 1]","[20, 2, 5, 71, 90, 1]","[90, 80, 40, 0, 100, 96]","[70, 57, 81, 100, 100, 100]","[0, 1, 0, 100, 1, 8]","[35, 3, 1, 100, 1, 6]","[35, 11, 9, 100, 90, 25]","[40, 4, 21, 40, 1, 8]","[69, 76, 70, 100, 28, 87, 25, 91, 90, 57, 55]","[59, 74, 100, 100, 91, 100, 57, 95, 50, 100, 100]","[12, 19, 100, 100, 48, 100, 100, 97, 72, 100, 67]","[67, 92, 100, 100, 100, 32, 100, 91, 12, 100, 100]","[67, 87, 0, 100, 67, 99, 100, 97, 7, 0, 100]","[71, 50, 0, 99, 9, 100, 100, 9, 22, 46, 48]","[75, 100, 50, 100, 99, 87, 100, 91, 7, 100, 50]","[76, 100, 100, 100, 100, 80, 61, 90, 93, 100, 70]","[78, 100, 0, 5, 12, 3, 91, 6, 5, 0, 0]","[83, 100, 100, 100, 100, 100, 100, 91, 91, 100, 100]","[100, 84, 100, 100, 28, 100, 100, 95, 93, 60, 80]"
Between Business Partners,"[50, 100, 51, 79, 87, 75, 100, 95, 100, 76, 75, 51, 74]","[95, 100, 52, 100, 94, 80, 100, 94, 100, 40, 100, 100, 100]","[75, 100, 56, 16, 89, 50, 96, 77, 100, 65, 78, 65, 81]","[50, 53, 21, 3, 56, 5, 65, 20, 50, 55, 21, 66, 18]","[60, 1, 45, 92, 33, 80, 25, 95, 20, 50, 20, 31, 22]","[55, 100, 66, 6, 8, 1, 65, 16, 5, 25, 75, 20, 69]","[65, 1, 17, 52, 49, 50, 10, 93, 10, 80, 7, 50, 66]","[10, 88, 82, 51, 17, 5, 45, 96, 25, 25, 63, 54, 80]","[85, 100, 88, 92, 85, 10, 60, 96, 100, 70, 100, 49, 96]","[85, 100, 74, 100, 86, 85, 100, 57, 100, 85, 4, 58, 93]","[70, 100, 52, 100, 85, 100, 55, 49, 100, 89, 10, 54, 75]","[93, 59, 80, 53, 69, 90, 71, 80, 90, 70, 90, 2, 42, 100]","[78, 2, 46, 60, 7, 26, 4, 20, 30, 100, 85, 1, 25, 2]","[89, 76, 100, 56, 57, 100, 100, 80, 85, 100, 80, 78, 93, 100]","[7, 50, 100, 60, 87, 88, 98, 100, 100, 100, 90, 100, 100, 100]","[94, 74, 75, 62, 6, 55, 4, 100, 15, 0, 20, 2, 80, 40]","[97, 81, 0, 93, 6, 100, 29, 100, 100, 0, 0, 77, 88, 50]","[90, 2, 50, 55, 7, 89, 6, 30, 60, 30, 90, 6, 33, 1]","[4, 1, 0, 59, 6, 1, 7, 0, 0, 0, 0, 4, 0, 1]","[6, 52, 20, 65, 48, 49, 5, 50, 55, 35, 40, 53, 41, 50]","[45, 71, 100, 51, 89, 23, 80, 100, 74, 100, 90, 99, 83, 100]","[4, 56, 0, 49, 95, 9, 29, 50, 25, 0, 0, 4, 7, 45]","[75, 55, 68, 71, 0, 91, 87, 28, 79]","[90, 100, 11, 62, 0, 87, 83, 27, 75]","[90, 100, 100, 77, 50, 90, 99, 39, 61]","[100, 100, 97, 91, 0, 97, 95, 100, 76]","[90, 100, 83, 78, 75, 77, 100, 36, 60]","[45, 83, 89, 55, 15, 9, 80, 33, 71]","[70, 100, 87, 69, 50, 57, 71, 49, 62]","[70, 96, 62, 53, 50, 9, 47, 51, 63]","[10, 7, 44, 63, 0, 44, 3, 13, 65]","[80, 100, 86, 86, 50, 9, 99, 61, 54]","[50, 66, 51, 16, 50, 18, 49, 0, 64]"
Between Close Friends,"[96, 90, 100, 100, 75]","[91, 100, 100, 100, 100]","[97, 90, 100, 6, 100]","[96, 100, 100, 100, 95]","[3, 1, 2, 6, 5]","[95, 60, 100, 6, 100]","[5, 25, 4, 4, 35]","[95, 100, 100, 1, 90]","[8, 10, 100, 12, 95]","[4, 1, 4, 14, 15]","[8, 20, 7, 6, 15]","[85, 79, 93, 100]","[24, 90, 90, 67]","[88, 100, 93, 61]","[5, 32, 91, 38]","[69, 53, 91, 65]","[4, 36, 69, 1]","[84, 96, 97, 68]","[92, 100, 93, 100]","[16, 34, 50, 8]","[1, 76, 92, 6]","[16, 13, 42, 100]","[98, 69, 100, 100, 44, 9, 0, 25, 20, 100, 56, 80, 19]","[93, 69, 100, 100, 62, 39, 100, 89, 0, 100, 60, 100, 58]","[95, 92, 100, 100, 93, 49, 91, 80, 39, 100, 76, 90, 100]","[10, 50, 2, 0, 9, 7, 0, 80, 0, 1, 4, 0, 20]","[99, 75, 80, 100, 15, 10, 100, 3, 100, 100, 99, 100, 67]","[76, 80, 100, 100, 22, 82, 100, 90, 76, 100, 89, 90, 100]","[50, 75, 100, 100, 26, 74, 50, 92, 19, 100, 87, 75, 70]","[87, 10, 100, 100, 11, 68, 77, 97, 47, 100, 100, 100, 54]","[12, 0, 0, 0, 82, 3, 0, 8, 28, 2, 88, 0, 47]","[92, 75, 100, 100, 63, 81, 100, 86, 35, 100, 98, 100, 50]","[37, 0, 5, 10, 73, 1, 0, 10, 68, 4, 100, 0, 60]"
Between Co-workers,"[35, 80, 100, 78, 50, 86, 50, 83, 52, 3, 61, 90]","[100, 100, 92, 100, 100, 82, 91, 88, 19, 68, 70, 90]","[50, 47, 81, 56, 50, 81, 77, 74, 72, 63, 58, 74]","[75, 90, 11, 32, 50, 15, 3, 0, 24, 10, 40, 40]","[40, 1, 89, 100, 50, 89, 81, 91, 65, 35, 58, 20]","[65, 80, 5, 2, 25, 12, 16, 3, 32, 5, 26, 4]","[50, 70, 89, 100, 50, 93, 3, 100, 74, 56, 73, 50]","[100, 90, 57, 4, 50, 44, 87, 30, 54, 91, 39, 76]","[75, 80, 87, 89, 100, 86, 55, 100, 82, 99, 82, 86]","[50, 80, 48, 100, 100, 76, 36, 84, 38, 25, 51, 31]","[50, 10, 71, 4, 100, 70, 87, 61, 28, 87, 52, 85]","[18, 53, 71, 19]","[7, 2, 70, 58]","[90, 100, 95, 51]","[49, 1, 8, 9]","[7, 41, 27, 28]","[53, 100, 77, 36]","[19, 4, 42, 79]","[17, 3, 5, 23]","[21, 5, 65, 49]","[37, 100, 74, 62]","[2, 1, 52, 60]","[35, 78, 100, 95, 98, 86, 83, 63, 91, 89, 80, 74]","[3, 83, 89, 94, 100, 91, 88, 89, 71, 85, 36, 90]","[65, 85, 91, 84, 100, 82, 91, 87, 73, 86, 90, 100]","[100, 77, 100, 91, 100, 92, 100, 79, 100, 91, 90, 93]","[20, 92, 35, 85, 32, 93, 77, 76, 100, 35, 87, 100]","[60, 50, 90, 83, 41, 9, 95, 86, 58, 50, 40, 56]","[85, 100, 97, 92, 82, 90, 82, 82, 97, 83, 77, 99]","[90, 93, 96, 52, 100, 92, 97, 92, 100, 81, 81, 20]","[7, 100, 3, 1, 30, 5, 9, 15, 0, 7, 25, 3]","[59, 100, 63, 87, 35, 62, 93, 50, 66, 55, 30, 76]","[30, 69, 28, 60, 24, 7, 48, 84, 70, 81, 20, 7]"
Between Facebook Friends,"[63, 100, 30, 84, 80, 80, 46, 50, 60, 20, 50]","[95, 100, 30, 92, 100, 80, 42, 75, 100, 100, 100]","[64, 100, 30, 34, 70, 50, 8, 50, 65, 6, 11]","[64, 100, 30, 62, 100, 55, 16, 56, 70, 62, 59]","[42, 0, 30, 38, 0, 20, 14, 52, 20, 1, 3]","[79, 100, 30, 46, 34, 50, 2, 50, 10, 65, 57]","[22, 10, 32, 75, 16, 50, 64, 50, 35, 100, 94]","[73, 100, 31, 47, 100, 60, 18, 81, 10, 100, 87]","[81, 100, 30, 60, 12, 60, 31, 80, 20, 64, 29]","[24, 1, 31, 24, 0, 20, 62, 6, 10, 3, 3]","[82, 100, 30, 12, 3, 10, 59, 1, 5, 46, 5]","[58, 48, 20, 73, 83, 17, 20]","[75, 55, 4, 50, 26, 54, 40]","[72, 49, 55, 56, 45, 68, 45]","[7, 1, 10, 41, 6, 1, 1]","[6, 11, 45, 42, 2, 2, 15]","[3, 100, 45, 27, 1, 3, 4]","[84, 56, 57, 65, 1, 67, 11]","[3, 2, 40, 29, 1, 15, 19]","[50, 3, 30, 12, 34, 3, 1]","[7, 100, 20, 13, 2, 5, 2]","[7, 2, 17, 3, 1, 5, 2]","[37, 12, 70, 54, 5, 20, 40, 4, 25, 1]","[38, 3, 50, 52, 5, 56, 37, 15, 30, 50]","[89, 80, 80, 63, 20, 15, 66, 50, 35, 1]","[16, 3, 0, 5, 3, 20, 23, 12, 75, 50]","[82, 87, 90, 69, 100, 50, 57, 79, 20, 30]","[32, 31, 60, 49, 8, 35, 34, 21, 40, 50]","[81, 48, 79, 67, 10, 3, 70, 28, 30, 1]","[18, 9, 10, 13, 13, 50, 74, 11, 63, 1]","[43, 12, 20, 27, 7, 39, 88, 62, 10, 50]","[90, 47, 20, 59, 50, 25, 46, 29, 52, 30]","[56, 51, 50, 35, 71, 20, 4, 23, 3, 20]"
Between Siblings,"[70, 81, 35, 40, 80, 87, 52, 54]","[52, 100, 14, 54, 100, 100, 54, 40]","[53, 78, 70, 53, 100, 80, 77, 78]","[53, 100, 92, 87, 100, 61, 100, 100]","[52, 1, 10, 1, 5, 0, 4, 0]","[55, 100, 84, 55, 70, 34, 68, 72]","[34, 100, 6, 69, 100, 20, 13, 16]","[56, 95, 95, 100, 100, 68, 78, 66]","[71, 65, 94, 8, 100, 44, 54, 50]","[54, 1, 9, 15, 2, 67, 44, 10]","[67, 91, 43, 1, 68, 62, 15, 11]","[100, 100, 35, 70, 100, 100, 86, 100, 100, 68]","[100, 100, 73, 100, 100, 51, 82, 62, 100, 83]","[100, 100, 55, 100, 80, 84, 82, 82, 60, 72]","[0, 50, 22, 47, 15, 24, 22, 11, 2, 29]","[0, 19, 23, 64, 4, 56, 57, 20, 2, 40]","[0, 47, 50, 50, 4, 2, 58, 28, 43, 68]","[100, 100, 78, 100, 100, 82, 91, 85, 75, 91]","[0, 0, 7, 0, 1, 1, 52, 1, 1, 15]","[20, 30, 47, 69, 5, 80, 62, 23, 81, 45]","[10, 38, 3, 100, 3, 29, 52, 63, 48, 62]","[5, 5, 4, 34, 3, 44, 74, 21, 52, 56]","[75, 6, 68]","[77, 64, 65]","[2, 17, 72]","[32, 5, 8]","[1, 53, 41]","[100, 37, 94]","[4, 51, 40]","[1, 23, 18]","[1, 4, 82]","[50, 72, 91]","[5, 28, 15]"
Between a monarch and their minister,"[22, 0, 100, 4, 50, 89, 4, 69]","[2, 0, 21, 16, 50, 7, 2, 5]","[53, 0, 75, 10, 26, 34, 1, 12]","[2, 0, 0, 6, 2, 8, 4, 4]","[100, 0, 100, 100, 100, 96, 3, 100]","[38, 0, 0, 14, 3, 1, 0, 5]","[7, 0, 100, 100, 83, 96, 100, 78]","[12, 0, 26, 8, 46, 3, 0, 35]","[100, 0, 51, 19, 3, 99, 2, 14]","[100, 0, 100, 33, 1, 95, 100, 91]","[1, 0, 100, 100, 1, 56, 1, 96]","[50, 66, 100, 48, 10, 21, 49, 39, 90, 48, 79, 47]","[10, 36, 0, 51, 1, 13, 0, 26, 0, 62, 37, 49]","[85, 72, 100, 41, 42, 94, 80, 80, 75, 96, 70, 50]","[90, 17, 50, 51, 35, 63, 0, 88, 0, 25, 93, 26]","[2, 19, 0, 34, 40, 25, 0, 86, 0, 13, 77, 40]","[50, 15, 50, 42, 26, 100, 0, 68, 100, 5, 80, 95]","[10, 17, 0, 42, 2, 9, 30, 37, 0, 20, 42, 29]","[1, 0, 0, 27, 1, 3, 0, 5, 0, 3, 6, 14]","[35, 17, 35, 56, 28, 67, 20, 61, 0, 51, 14, 33]","[100, 68, 100, 66, 100, 79, 80, 100, 60, 58, 56, 65]","[30, 9, 0, 52, 1, 89, 30, 61, 50, 28, 31, 69]","[47, 90, 40, 73, 100, 97, 84, 80, 66]","[54, 53, 40, 4, 46, 7, 85, 85, 65]","[75, 94, 70, 5, 100, 33, 80, 79, 59]","[84, 91, 100, 90, 100, 99, 100, 92, 79]","[75, 80, 0, 8, 96, 3, 80, 69, 86]","[37, 52, 5, 8, 52, 6, 30, 60, 59]","[55, 80, 90, 10, 58, 84, 80, 63, 39]","[55, 90, 75, 5, 48, 4, 21, 65, 40]","[12, 49, 0, 90, 0, 27, 57, 39, 31]","[46, 54, 35, 8, 84, 49, 58, 70, 51]","[48, 42, 10, 5, 17, 56, 50, 38, 24]"
Between a person and their crush,"[100, 100, 95, 70, 94, 90, 80, 88, 73]","[100, 90, 91, 27, 100, 100, 78, 85, 88]","[100, 100, 88, 48, 99, 93, 89, 77, 100]","[47, 100, 86, 100, 100, 100, 87, 92, 100]","[2, 0, 2, 19, 0, 4, 6, 30, 5]","[100, 100, 86, 60, 100, 85, 56, 92, 100]","[2, 5, 13, 22, 20, 20, 58, 8, 8]","[100, 100, 91, 71, 100, 87, 82, 18, 100]","[100, 50, 83, 25, 7, 74, 97, 96, 97]","[4, 5, 7, 68, 3, 74, 70, 17, 49]","[100, 5, 84, 10, 1, 3, 78, 76, 13]","[70, 90, 70, 69, 100, 78, 80, 30]","[70, 86, 94, 81, 100, 91, 95, 83]","[86, 79, 81, 76, 100, 51, 95, 53]","[50, 8, 29, 5, 1, 17, 85, 0]","[35, 14, 39, 6, 1, 4, 0, 0]","[16, 88, 67, 4, 20, 16, 0, 0]","[90, 94, 100, 95, 100, 66, 95, 83]","[95, 81, 50, 64, 100, 87, 90, 74]","[10, 34, 3, 5, 10, 13, 0, 20]","[20, 62, 11, 17, 70, 17, 96, 28]","[5, 25, 3, 0, 1, 4, 0, 0]","[79, 22, 32, 25, 80, 13, 1, 24, 81, 90, 78]","[100, 9, 62, 98, 100, 100, 85, 100, 91, 96, 84]","[20, 38, 34, 83, 100, 87, 74, 83, 69, 98, 55]","[7, 7, 2, 5, 0, 2, 1, 17, 7, 3, 9]","[74, 44, 12, 10, 44, 100, 54, 48, 72, 95, 75]","[70, 53, 41, 65, 48, 90, 53, 29, 48, 99, 49]","[17, 39, 25, 93, 5, 93, 62, 50, 51, 95, 93]","[82, 18, 55, 90, 69, 100, 43, 49, 87, 99, 45]","[24, 100, 56, 33, 5, 12, 1, 0, 48, 3, 24]","[98, 100, 91, 94, 49, 100, 52, 11, 75, 97, 86]","[91, 20, 1, 89, 9, 8, 1, 53, 1, 9, 27]"
Between a person and their deceased spouse,"[49, 100, 98, 98, 96, 100, 40, 19, 70, 55]","[51, 100, 100, 83, 100, 100, 54, 100, 63, 100]","[45, 92, 100, 50, 83, 100, 38, 100, 61, 70]","[80, 95, 100, 86, 96, 100, 70, 100, 63, 86]","[10, 3, 2, 17, 1, 5, 62, 2, 58, 87]","[82, 100, 100, 75, 95, 100, 65, 100, 52, 90]","[92, 13, 5, 90, 4, 97, 64, 13, 26, 96]","[76, 73, 100, 50, 94, 68, 67, 100, 69, 89]","[55, 21, 100, 50, 3, 96, 56, 76, 64, 96]","[0, 4, 5, 50, 1, 9, 61, 6, 17, 65]","[17, 8, 12, 63, 2, 5, 58, 3, 30, 97]","[100, 71, 100, 100, 100, 79, 100, 79]","[100, 87, 100, 90, 100, 60, 93, 100]","[100, 0, 1, 1, 100, 0, 2, 62]","[0, 0, 0, 1, 0, 0, 3, 0]","[0, 0, 0, 1, 0, 0, 2, 0]","[0, 0, 0, 1, 0, 0, 1, 0]","[100, 100, 100, 1, 100, 32, 17, 100]","[0, 0, 0, 1, 100, 60, 3, 100]","[50, 0, 0, 1, 0, 6, 1, 0]","[0, 0, 0, 1, 0, 0, 4, 0]","[0, 0, 0, 1, 0, 0, 4, 0]","[42, 60, 60, 2, 15, 14]","[100, 90, 40, 79, 44, 72]","[100, 80, 42, 87, 80, 31]","[25, 1, 16, 2, 2, 54]","[42, 100, 19, 91, 81, 17]","[63, 100, 53, 98, 99, 81]","[73, 90, 53, 3, 29, 11]","[63, 95, 50, 1, 15, 53]","[100, 5, 15, 14, 20, 90]","[100, 90, 100, 97, 70, 23]","[80, 10, 73, 2, 11, 92]"
Between a person and their family friends,"[98, 100, 42, 83, 73, 80, 73, 12, 94, 96]","[54, 100, 57, 33, 40, 70, 77, 59, 67, 100]","[59, 64, 58, 79, 19, 70, 80, 27, 70, 88]","[91, 77, 100, 75, 66, 67, 78, 68, 80, 84]","[9, 6, 2, 9, 65, 20, 81, 37, 64, 70]","[69, 55, 100, 56, 44, 64, 64, 32, 68, 86]","[96, 25, 4, 100, 73, 50, 70, 48, 40, 98]","[93, 71, 100, 83, 83, 53, 68, 62, 79, 62]","[75, 89, 100, 62, 72, 57, 66, 61, 95, 97]","[5, 7, 4, 31, 37, 34, 72, 18, 4, 70]","[11, 6, 9, 64, 10, 33, 61, 2, 79, 98]","[0, 72, 22, 15, 0, 78, 22, 7]","[50, 79, 66, 20, 50, 60, 69, 19]","[100, 92, 92, 80, 75, 44, 81, 35]","[0, 92, 1, 5, 0, 28, 4, 18]","[50, 58, 29, 30, 0, 10, 4, 21]","[50, 67, 5, 20, 0, 0, 2, 13]","[100, 79, 87, 60, 100, 80, 64, 33]","[0, 64, 59, 1, 0, 20, 3, 0]","[50, 9, 16, 5, 26, 6, 7, 0]","[50, 9, 91, 60, 0, 8, 5, 0]","[0, 34, 4, 5, 0, 8, 10, 0]","[61, 40, 53, 22, 74, 16]","[95, 95, 71, 86, 75, 79]","[100, 80, 54, 77, 91, 28]","[65, 5, 20, 2, 7, 31]","[60, 95, 19, 92, 82, 19]","[81, 80, 56, 73, 78, 83]","[67, 80, 50, 23, 79, 10]","[53, 75, 65, 53, 67, 40]","[100, 5, 15, 3, 17, 90]","[100, 90, 100, 87, 99, 45]","[96, 5, 54, 12, 19, 94]"
